day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
68,9.965,499,0,69.93028671469895,41.365,67,0,8.769051047941678,448.67,474,1,64.33190553956688
69,9.965,499,0,69.93028671469895,39.82,64,0,8.50525111224895,450.215,475,1,64.53668486579814
70,9.965,499,0,69.93028671469895,38.225,61,0,8.261089699009165,451.81,476,1,64.75212807662976
71,9.965,499,0,69.93028671469895,36.78,58,0,7.890048435948162,453.255,477,1,64.92910687509871
72,9.965,499,0,69.93028671469895,35.31,56,0,7.676492865467132,454.725,479,1,65.12993873479375
73,9.965,499,0,69.93028671469895,33.78,53,0,7.3915339320973645,456.255,481,1,65.33193156035594
74,9.965,499,0,69.93028671469895,32.44,52,0,7.262237981677034,457.595,482,1,65.52256870766169
75,9.965,499,0,69.93028671469895,31.04,49,0,7.060285985068507,458.995,482,1,65.714205152265
76,9.965,499,0,69.93028671469895,29.825,48,0,6.878294094340633,460.21,482,1,65.87986553885096
77,9.965,499,0,69.93028671469895,28.585,46,0,6.605371272550938,461.45,484,1,66.0402458380627
78,9.965,499,0,69.93028671469895,27.36,42,0,6.2991105697431,462.675,485,1,66.19591278430062
79,9.965,499,0,69.93028671469895,26.355,41,0,6.09464506697989,463.68,486,1,66.32868968536076
80,9.965,499,0,69.93028671469895,25.28,39,0,5.921734093436384,464.755,486,1,66.47518126051325
81,9.965,499,0,69.93028671469895,24.16,36,0,5.828745264358696,465.875,488,1,66.63550727011636
82,9.965,499,0,69.93028671469895,23.13,36,0,5.603579258162819,466.905,489,1,66.77085976358127
83,9.965,499,0,69.93028671469895,22.185,35,0,5.426602535231128,467.85,489,1,66.89786334856305
84,9.965,499,0,69.93028671469895,21.295,33,0,5.29320935979611,468.74,490,1,67.02030293146342
85,9.965,499,0,69.93028671469895,20.555,32,0,5.1915059152756164,469.48,490,1,67.1228499463828
86,9.965,499,0,69.93028671469895,19.82,30,0,5.05025995649142,470.215,490,1,67.22166717427082
87,9.965,499,0,69.93028671469895,18.99,29,0,4.941863014112314,471.045,492,1,67.33716987842733
88,9.965,499,0,69.93028671469895,18.22,29,0,4.84240066713872,471.815,492,1,67.44438077028683
89,9.965,499,0,69.93028671469895,17.505,28,0,4.7192511755882895,472.53,492,1,67.54175406897254
90,9.965,499,0,69.93028671469895,16.895,28,0,4.68548222903395,473.14,492,1,67.62979629374664
91,9.965,499,0,69.93028671469895,16.2,26,0,4.602817577119606,473.835,493,1,67.72697016283234
92,9.965,499,0,69.93028671469895,15.47,25,0,4.542274904332923,474.565,493,1,67.83075135324482
93,9.965,499,0,69.93028671469895,14.905,24,0,4.488508498678996,475.13,494,1,67.91054639419262
94,9.965,499,0,69.93028671469895,14.305,23,0,4.371214083388513,475.73,495,1,67.99133184480321
95,9.965,499,0,69.93028671469895,13.725,23,0,4.364011685358983,476.31,495,1,68.07624974170119
96,9.965,499,0,69.93028671469895,13.225,23,0,4.278539998949767,476.81,495,1,68.14434797401776
97,9.965,499,0,69.93028671469895,12.7,23,0,4.169764342665763,477.335,496,1,68.21472729624084
98,9.965,499,0,69.93028671469895,12.245,23,0,4.1157834450848085,477.79,496,1,68.27822110590562
99,9.965,499,0,69.93028671469895,11.8,23,0,4.025047207813297,478.235,496,1,68.33805840182069
100,9.965,499,0,69.93028671469895,11.3,23,0,3.922618344086873,478.735,498,1,68.40534504814501
101,9.965,499,0,69.93028671469895,10.765,22,0,3.796292160892555,479.27,498,1,68.47650882825826
102,9.965,499,0,69.93028671469895,10.245,21,0,3.680039190309127,479.79,498,1,68.54618001004759
103,9.965,499,0,69.93028671469895,9.815,20,0,3.5769748033385125,480.22,498,1,68.60352628761495
104,9.965,499,0,69.93028671469895,9.405,19,0,3.438033649760342,480.63,498,1,68.6562561427412
105,9.965,499,0,69.93028671469895,9.025,18,0,3.3256087212470087,481.01,498,1,68.70613191567452
106,9.965,499,0,69.93028671469895,8.665,17,0,3.2689762969698566,481.37,498,1,68.75587211103313
107,9.965,499,0,69.93028671469895,8.34,17,0,3.150241276553673,481.695,498,1,68.79765666659054
108,9.965,499,0,69.93028671469895,8.005,16,0,3.087497075456878,482.03,498,1,68.84356383429778
109,9.965,499,0,69.93028671469895,7.67,15,0,3.0127201018448933,482.365,498,1,68.88897027921564
110,9.965,499,0,69.93028671469895,7.44,15,0,3.0484199713307296,482.595,499,1,68.92396929017922
111,9.965,499,0,69.93028671469895,7.165,15,0,3.013833265921304,482.87,499,1,68.96239671592063
112,9.965,499,0,69.93028671469895,6.89,15,0,2.9668012315857455,483.145,499,1,69.00028384618625
113,9.965,499,0,69.93028671469895,6.645,14,0,2.9277694873152607,483.39,500,1,69.03416894851462
114,9.965,499,0,69.93028671469895,6.425,13,0,2.8504385627478444,483.61,500,1,69.06284298671055
115,9.965,499,0,69.93028671469895,6.15,13,0,2.76145399032892,483.885,500,1,69.09909696229772
116,9.965,499,0,69.93028671469895,5.92,13,0,2.6644127828448303,484.115,500,1,69.1286163829067
117,9.965,499,0,69.93028671469895,5.635,12,0,2.5542899179467913,484.4,500,1,69.16573933305013
118,9.965,499,0,69.93028671469895,5.415,12,0,2.498798706353589,484.62,500,1,69.19556148080031
119,9.965,499,0,69.93028671469895,5.155,12,0,2.3725767854834703,484.88,500,1,69.22874181629575
120,9.965,499,0,69.93028671469895,4.945,12,0,2.28870396275834,485.09,500,1,69.2562926408262
121,9.965,499,0,69.93028671469895,4.795,11,0,2.2266036511008145,485.24,500,1,69.275956802882
122,9.965,499,0,69.93028671469895,4.64,11,0,2.205611846651729,485.395,500,1,69.29768989021639
123,9.965,499,0,69.93028671469895,4.475,11,0,2.1985319450869576,485.56,500,1,69.32130710027367
124,9.965,499,0,69.93028671469895,4.345,10,0,2.1351273601874676,485.69,500,1,69.33810470310748
125,9.965,499,0,69.93028671469895,4.185,10,0,2.066914530983794,485.85,500,1,69.35914470907113
126,9.965,499,0,69.93028671469895,3.975,9,0,1.9758275411487232,486.06,500,1,69.38680742926661
127,9.965,499,0,69.93028671469895,3.815,9,0,1.9363684084040738,486.22,500,1,69.4087854488712
128,9.965,499,0,69.93028671469895,3.645,9,0,1.8832707035138547,486.39,500,1,69.43185010530273
129,9.965,499,0,69.93028671469895,3.465,9,0,1.829071489188658,486.57,500,1,69.45636061694245
130,9.965,499,0,69.93028671469895,3.34,9,0,1.786155580791877,486.695,500,1,69.4732657087689
131,9.965,499,0,69.93028671469895,3.225,9,0,1.763497837570429,486.81,500,1,69.48926311627007
132,9.965,499,0,69.93028671469895,3.13,9,0,1.7372941474528338,486.905,500,1,69.5022936247105
133,9.965,499,0,69.93028671469895,3.04,8,0,1.7301349179098295,486.995,500,1,69.51508259753933
134,9.965,499,0,69.93028671469895,2.915,8,0,1.700657573088869,487.12,500,1,69.53236186649832
135,9.965,499,0,69.93028671469895,2.8,8,0,1.6715172297186265,487.235,500,1,69.54821743034607
136,9.965,499,0,69.93028671469895,2.705,8,0,1.6558029523724822,487.33,500,1,69.5615204378695
137,9.965,499,0,69.93028671469895,2.61,8,0,1.646650323059562,487.425,500,1,69.5749794381507
138,9.965,499,0,69.93028671469895,2.53,8,0,1.5974540044966596,487.505,500,1,69.58534743672296
139,9.965,499,0,69.93028671469895,2.415,8,0,1.563649577111189,487.62,500,1,69.60112920010457
140,9.965,499,0,69.93028671469895,2.305,8,0,1.5698077851801027,487.73,500,1,69.61709415793636
141,9.965,499,0,69.93028671469895,2.205,8,0,1.582877920928463,487.83,500,1,69.6317745005863
142,9.965,499,0,69.93028671469895,2.13,7,0,1.5345599929163067,487.905,500,1,69.64147940176409
143,9.965,499,0,69.93028671469895,2.03,6,0,1.4967636779190256,488.005,500,1,69.65503639707173
144,9.965,499,0,69.93028671469895,1.94,6,0,1.448062299112353,488.095,500,1,69.66694619372805
145,9.965,499,0,69.93028671469895,1.87,6,0,1.425926481856022,488.165,500,1,69.67655189819679
146,9.965,499,0,69.93028671469895,1.835,6,0,1.4062941785355276,488.2,500,1,69.68118351953716
147,9.965,499,0,69.93028671469895,1.77,6,0,1.3916838432625387,488.265,500,1,69.69023186276128
148,9.965,499,0,69.93028671469895,1.685,6,0,1.3434280758473358,488.35,500,1,69.70149923046762
149,9.965,499,0,69.93028671469895,1.64,6,0,1.3414160372250743,488.395,500,1,69.70792601812752
150,9.965,499,0,69.93028671469895,1.6,6,0,1.3337520280628667,488.435,500,1,69.7135256120814
151,9.965,499,0,69.93028671469895,1.525,5,0,1.2796729324598344,488.51,500,1,69.72328580119108
