day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
51,45.28,59,33,6.311764202419065,139.48,160,112,11.378892023104422,315.24,336,292,11.207796120448972,0.9570921305182342,0.9713691618682022,0.9422584772872681,0.006998825997194141,0.7620854611781718,0.820322136857289,0.7227408526526626,0.02338470154866062,0.03,5
52,42.76,55,30,5.947251122860657,136.12,156,108,11.504462310826375,321.12,342,301,11.285967447431796,0.9608413307741523,0.9752079334612924,0.9472168905950096,0.006745515453045312,0.7697385516311013,0.8276144828213677,0.7289160887048299,0.024659120874214083,0.03,5
53,40.3,51,29,6.132050294667072,133.28,155,107,10.939611603746098,326.42,346,307,10.573532609148883,0.9639059500959692,0.9792066538707613,0.9508957133717211,0.006387221372207358,0.7746688300772131,0.8242779738026839,0.7339929189725117,0.024365217763903903,0.03,5
54,38.22,50,28,5.82145924619438,130.22,153,106,10.49643282457504,331.56,351,311,10.466974301124862,0.9665930902111325,0.9798464491362764,0.955534229046705,0.005950791777911024,0.7802222995827485,0.8339718496682693,0.737656589361455,0.02289489615586792,0.03,5
55,36.1,48,24,5.904857910125824,127.08,148,106,10.247627898739308,336.82,356,315,10.119066666648747,0.9693570057581574,0.9811260396673065,0.9579334612923864,0.005750180719288784,0.7863681730121855,0.8336955545705389,0.7446902499725466,0.023750955981683856,0.03,5
56,34.28,46,22,5.883355976908111,123.4,143,104,10.423677912545543,342.32,363,321,9.865296834492762,0.9719545745361483,0.9817658349328215,0.9611324376199616,0.005237309848349077,0.7934257086597803,0.8438925051369068,0.7489856385309398,0.025348218764670017,0.03,5
57,32.66,42,22,5.720032824224357,120.42,138,100,9.566288598564254,346.92,364,326,9.37177699700716,0.9739635316698656,0.9824056301983365,0.963531669865643,0.005074235974622533,0.7985112938043929,0.8424506500098436,0.7537652548409118,0.02544277434918401,0.03,5
58,31.06,41,20,5.740689000815288,117.04,136,97,9.901473813199194,351.9,369,330,9.498120114753535,0.9761836212412028,0.9857645553422905,0.9672104926423545,0.004677494894862652,0.8057180476409513,0.8466845101546624,0.7620718519688383,0.025367571015006574,0.03,5
59,29.5,40,19,5.273151092940499,113.98,134,97,9.706908963859357,356.52,371,333,9.037879469550498,0.9779814459373,0.9862444017914267,0.968809980806142,0.004255054504612595,0.8111737106253633,0.8516139275393891,0.7661475568063302,0.024942112239466935,0.03,5
60,28.32,38,18,4.863189513570076,110.7,132,93,9.536717443221056,360.98,377,337,9.01583640725857,0.9796193218170185,0.9873640435060781,0.9705694177863083,0.004022490619726585,0.8180322981843401,0.860846986252835,0.7706026382874243,0.02380291842942862,0.03,5
61,26.76,37,16,4.631568694452084,107.46,128,92,8.919618368334751,365.78,379,342,8.581636778372669,0.9814811260396674,0.988003838771593,0.972808701215611,0.0036243159737348774,0.8256583854802048,0.8612431828535326,0.7701062165886808,0.021744965467357366,0.03,5
62,25.66,36,15,4.58306554567119,104.76,123,88,8.53697838816522,369.58,383,347,8.33260132839434,0.9827767114523352,0.989443378119002,0.9764875239923224,0.003365438026441408,0.8304558400932405,0.8658573555061283,0.7710383366747962,0.02083646409639881,0.03,5
63,24.6,34,15,4.562491263620375,101.4,122,88,8.033094811148313,374.0,385,348,8.050858744917365,0.9841746641074856,0.9900831733845169,0.9776071657069738,0.003035402018299603,0.8373049949278273,0.8772905104529857,0.7853393683577318,0.020173686092018646,0.03,5
64,23.46,34,13,4.500385471018577,98.26,117,83,7.907139630919461,378.28,390,354,7.902569977222477,0.9854766474728087,0.9918426103646834,0.9792066538707613,0.002933690493685045,0.8438630694579201,0.8856844658447419,0.787619039236485,0.02040965400995821,0.03,5
