day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
87,4.99,499,0,49.900000000000006,19.47,34,0,5.093975447387419,475.54,493,1,48.1631109099615,0.0743,14
88,4.99,499,0,49.900000000000006,18.52,32,0,4.930793777144535,476.49,493,1,48.24547814682908,0.0743,14
89,4.99,499,0,49.900000000000006,17.74,31,0,4.7834309988973525,477.27,493,1,48.312086239032126,0.0743,14
90,4.99,499,0,49.900000000000006,17.01,30,0,4.622070461766605,478.0,494,1,48.37250241510139,0.0743,14
91,4.99,499,0,49.900000000000006,16.27,29,0,4.460500039912634,478.74,495,1,48.434402165519856,0.0743,14
92,4.99,499,0,49.900000000000006,15.54,26,0,4.459514853352631,479.47,495,1,48.510220728744514,0.0743,14
93,4.99,499,0,49.900000000000006,14.98,24,0,4.336781844602834,480.03,495,1,48.557256632939755,0.0743,14
94,4.99,499,0,49.900000000000006,14.3,24,0,4.200769530272359,480.71,496,1,48.61585038946566,0.0743,14
95,4.99,499,0,49.900000000000006,13.76,23,0,4.153907737895666,481.25,496,1,48.6677822620163,0.0743,14
96,4.99,499,0,49.900000000000006,13.36,22,0,4.06144722178604,481.65,496,1,48.70139379500095,0.0743,14
97,4.99,499,0,49.900000000000006,12.99,22,0,4.028923208777033,482.02,496,1,48.73697287740106,0.0743,14
98,4.99,499,0,49.900000000000006,12.57,22,0,4.030828172668212,482.44,496,1,48.7805475387661,0.0743,14
99,4.99,499,0,49.900000000000006,12.1,20,0,3.815174380753199,482.91,496,1,48.81175860156831,0.0743,14
100,4.99,499,0,49.900000000000006,11.6,19,0,3.7281349089041695,483.41,496,1,48.85664352124097,0.0743,14
101,4.99,499,0,49.900000000000006,11.13,19,0,3.7434252127206076,483.88,496,1,48.90627606334222,0.0743,14
102,4.99,499,0,49.900000000000006,10.65,18,0,3.699235520258671,484.36,497,1,48.9523619182337,0.0743,14
103,4.99,499,0,49.900000000000006,10.2,17,0,3.4582648770150555,484.81,497,1,48.98107138002753,0.0743,14
104,4.99,499,0,49.900000000000006,9.79,17,0,3.3281626562814908,485.22,497,1,49.01423829414831,0.0743,14
105,4.99,499,0,49.900000000000006,9.4,17,0,3.219260219931959,485.61,498,1,49.04705944706614,0.0743,14
106,4.99,499,0,49.900000000000006,9.02,17,0,3.1494107192914487,485.99,498,1,49.081563738229654,0.0743,14
107,4.99,499,0,49.900000000000006,8.7,17,0,3.0600059417648784,486.31,498,1,49.10876302718901,0.0743,14
108,4.99,499,0,49.900000000000006,8.37,15,0,2.9186097423744117,486.64,498,1,49.13401997793302,0.0743,14
109,4.99,499,0,49.900000000000006,8.04,15,0,2.777688887466621,486.97,498,1,49.15969750299384,0.0743,14
110,4.99,499,0,49.900000000000006,7.67,15,0,2.8071157777866924,487.34,498,1,49.19928963928342,0.0743,14
111,4.99,499,0,49.900000000000006,7.32,14,0,2.7556370141104134,487.69,498,1,49.23222542402507,0.0743,14
112,4.99,499,0,49.900000000000006,7.07,14,0,2.675194696964441,487.94,498,1,49.25337910778664,0.0743,14
113,4.99,499,0,49.900000000000006,6.88,14,0,2.690349382139762,488.13,498,1,49.27364427563705,0.0743,14
114,4.99,499,0,49.900000000000006,6.67,14,0,2.6744394296050644,488.34,499,1,49.29425561222765,0.0743,14
115,4.99,499,0,49.900000000000006,6.37,14,0,2.525246262618497,488.64,499,1,49.31705710210332,0.0743,14
116,4.99,499,0,49.900000000000006,6.15,13,0,2.508067790232959,488.86,499,1,49.33866064602315,0.0743,14
117,4.99,499,0,49.900000000000006,5.9,12,0,2.439158656072817,489.11,499,1,49.36074074882514,0.0743,14
118,4.99,499,0,49.900000000000006,5.58,11,0,2.404457140689794,489.43,499,1,49.39170482024795,0.0743,14
119,4.99,499,0,49.900000000000006,5.34,11,0,2.3750385430152665,489.67,499,1,49.41476796393253,0.0743,14
120,4.99,499,0,49.900000000000006,5.05,11,0,2.3371181425253647,489.96,500,1,49.44253270620387,0.0743,14
121,4.99,499,0,49.900000000000006,4.87,11,0,2.2947238561006813,490.14,500,1,49.45889426809118,0.0743,14
