day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T,network
17,4.616666666666666,0,499,41.0013833140759,342.6333333333333,0,403,34.26718091481093,152.75,1,203,25.197696582098093,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
18,3.9766666666666666,0,499,40.694014279943886,329.47,0,402,33.73766242970511,166.55333333333334,1,221,25.39323815577042,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
19,3.6666666666666665,0,499,40.62713505237728,316.12333333333333,0,406,32.847597646189826,180.21,1,233,25.422961864553766,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
20,3.52,0,499,40.62253357575955,303.4166666666667,0,400,32.11293390471796,193.06333333333333,1,246,25.88499111012905,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
21,3.4133333333333336,0,499,40.628126189638124,291.3233333333333,0,381,31.080843806563266,205.26333333333332,1,252,26.04794888327373,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
22,3.37,0,499,40.63097365393661,279.79333333333335,0,365,30.1676024294833,216.83666666666667,1,261,26.38517095598988,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
23,3.35,0,499,40.6323861307158,268.29,0,352,29.280089574401064,228.36,1,272,26.821665480175433,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
24,3.3433333333333333,0,499,40.632854750470074,257.57,0,342,28.333863002459452,239.08666666666667,1,281,27.135960582678926,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
25,3.34,0,499,40.633088646773935,247.30333333333334,0,329,27.202043294949192,249.35666666666665,1,289,27.23751818500511,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
26,3.3333333333333335,0,499,40.6335556122589,237.34666666666666,0,316,26.239694372421372,259.32,1,300,27.516567219984157,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
