,day,s,s,s,i,i,i,r,r,r,V,T
,,mean,max,min,mean,max,min,mean,max,min,,
8082,83,99.8,499,0,18.0,31,0,382.2,483,1,0.05,35
8083,84,99.8,499,0,17.2,29,0,383.0,484,1,0.05,35
8084,85,99.8,499,0,15.9,29,0,384.3,487,1,0.05,35
8085,86,99.8,499,0,15.4,28,0,384.8,487,1,0.05,35
8086,87,99.8,499,0,14.7,27,0,385.5,488,1,0.05,35
8087,88,99.8,499,0,14.5,27,0,385.7,488,1,0.05,35
8088,89,99.8,499,0,13.7,27,0,386.5,488,1,0.05,35
8089,90,99.8,499,0,13.2,26,0,387.0,488,1,0.05,35
8090,91,99.8,499,0,12.6,26,0,387.6,490,1,0.05,35
8091,92,99.8,499,0,12.1,24,0,388.1,490,1,0.05,35
8092,93,99.8,499,0,11.6,22,0,388.6,490,1,0.05,35
8093,94,99.8,499,0,11.3,21,0,388.9,491,1,0.05,35
8094,95,99.8,499,0,11.0,20,0,389.2,491,1,0.05,35
8095,96,99.8,499,0,10.8,20,0,389.4,491,1,0.05,35
8096,97,99.8,499,0,10.0,19,0,390.2,492,1,0.05,35
8097,98,99.8,499,0,9.5,16,0,390.7,492,1,0.05,35
8098,99,99.8,499,0,9.3,16,0,390.9,493,1,0.05,35
8099,100,99.8,499,0,9.2,15,0,391.0,493,1,0.05,35
8100,101,99.8,499,0,8.8,15,0,391.4,493,1,0.05,35
8101,102,99.8,499,0,8.4,15,0,391.8,495,1,0.05,35
8102,103,99.8,499,0,8.1,15,0,392.1,496,1,0.05,35
8103,104,99.8,499,0,7.9,15,0,392.3,496,1,0.05,35
8104,105,99.8,499,0,7.8,15,0,392.4,496,1,0.05,35
8105,106,99.8,499,0,7.5,15,0,392.7,496,1,0.05,35
8106,107,99.8,499,0,7.2,15,0,393.0,496,1,0.05,35
8107,108,99.8,499,0,6.9,15,0,393.3,496,1,0.05,35
8108,109,99.8,499,0,6.9,15,0,393.3,496,1,0.05,35
8109,110,99.8,499,0,6.7,15,0,393.5,496,1,0.05,35
8110,111,99.8,499,0,6.4,14,0,393.8,496,1,0.05,35
8111,112,99.8,499,0,6.3,14,0,393.9,496,1,0.05,35
8112,113,99.8,499,0,6.1,13,0,394.1,496,1,0.05,35
8113,114,99.8,499,0,6.1,13,0,394.1,496,1,0.05,35
8114,115,99.8,499,0,5.6,12,0,394.6,496,1,0.05,35
8115,116,99.8,499,0,5.3,12,0,394.9,496,1,0.05,35
8116,117,99.8,499,0,5.1,11,0,395.1,496,1,0.05,35
8117,118,99.8,499,0,4.9,11,0,395.3,497,1,0.05,35
8118,119,99.8,499,0,4.6,11,0,395.6,497,1,0.05,35
8119,120,99.8,499,0,4.6,11,0,395.6,497,1,0.05,35
8120,121,99.8,499,0,4.6,11,0,395.6,497,1,0.05,35
8121,122,99.8,499,0,3.9,9,0,396.3,498,1,0.05,35
8122,123,99.8,499,0,3.6,8,0,396.6,498,1,0.05,35
8123,124,99.8,499,0,3.4,7,0,396.8,498,1,0.05,35
8124,125,99.8,499,0,3.3,7,0,396.9,498,1,0.05,35
8125,126,99.8,499,0,3.1,7,0,397.1,498,1,0.05,35
8126,127,99.8,499,0,3.1,7,0,397.1,498,1,0.05,35
8127,128,99.8,499,0,2.8,6,0,397.4,499,1,0.05,35
8128,129,99.8,499,0,2.6,6,0,397.6,499,1,0.05,35
8129,130,99.8,499,0,2.6,6,0,397.6,499,1,0.05,35
8130,131,99.8,499,0,2.4,6,0,397.8,500,1,0.05,35
8131,132,99.8,499,0,2.4,6,0,397.8,500,1,0.05,35
8132,133,99.8,499,0,2.2,6,0,398.0,500,1,0.05,35
8133,134,99.8,499,0,2.1,6,0,398.1,500,1,0.05,35
8134,135,99.8,499,0,2.0,5,0,398.2,500,1,0.05,35
8135,136,99.8,499,0,2.0,5,0,398.2,500,1,0.05,35
8136,137,99.8,499,0,2.0,5,0,398.2,500,1,0.05,35
8137,138,99.8,499,0,1.9,5,0,398.3,500,1,0.05,35
8138,139,99.8,499,0,1.8,5,0,398.4,500,1,0.05,35
8139,140,99.8,499,0,1.7,5,0,398.5,500,1,0.05,35
8140,141,99.8,499,0,1.4,4,0,398.8,500,1,0.05,35
8141,142,99.8,499,0,1.3,4,0,398.9,500,1,0.05,35
8142,143,99.8,499,0,1.3,4,0,398.9,500,1,0.05,35
8143,144,99.8,499,0,1.3,4,0,398.9,500,1,0.05,35
8144,145,99.8,499,0,1.3,4,0,398.9,500,1,0.05,35
8145,146,99.8,499,0,1.0,3,0,399.2,500,1,0.05,35
8146,147,99.8,499,0,0.9,2,0,399.3,500,1,0.05,35
8147,148,99.8,499,0,0.9,2,0,399.3,500,1,0.05,35
8148,149,99.8,499,0,0.9,2,0,399.3,500,1,0.05,35
8149,150,99.8,499,0,0.9,2,0,399.3,500,1,0.05,35
8150,151,99.8,499,0,0.9,2,0,399.3,500,1,0.05,35
8151,152,99.8,499,0,0.9,2,0,399.3,500,1,0.05,35
8152,153,99.8,499,0,0.8,2,0,399.4,500,1,0.05,35
8153,154,99.8,499,0,0.8,2,0,399.4,500,1,0.05,35
8154,155,99.8,499,0,0.7,2,0,399.5,500,1,0.05,35
8155,156,99.8,499,0,0.7,2,0,399.5,500,1,0.05,35
8156,157,99.8,499,0,0.7,2,0,399.5,500,1,0.05,35
8157,158,99.8,499,0,0.7,2,0,399.5,500,1,0.05,35
8158,159,99.8,499,0,0.4,2,0,399.8,500,1,0.05,35
8159,160,99.8,499,0,0.3,1,0,399.9,500,1,0.05,35
8160,161,99.8,499,0,0.3,1,0,399.9,500,1,0.05,35
8161,162,99.8,499,0,0.3,1,0,399.9,500,1,0.05,35
8162,163,99.8,499,0,0.3,1,0,399.9,500,1,0.05,35
8163,164,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8164,165,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8165,166,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8166,167,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8167,168,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8168,169,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8169,170,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8170,171,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8171,172,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8172,173,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8173,174,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8174,175,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8175,176,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8176,177,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8177,178,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8178,179,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8179,180,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8180,181,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8181,182,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8182,183,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8183,184,99.8,499,0,0.2,1,0,400.0,500,1,0.05,35
8184,185,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8185,186,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8186,187,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8187,188,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8188,189,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8189,190,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8190,191,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8191,192,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8192,193,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8193,194,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8194,195,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8195,196,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8196,197,99.8,499,0,0.1,1,0,400.1,500,1,0.05,35
8197,198,99.8,499,0,0.0,0,0,400.2,500,1,0.05,35
8198,199,99.8,499,0,0.0,0,0,400.2,500,1,0.05,35
8199,200,99.8,499,0,0.0,0,0,400.2,500,1,0.05,35
8200,1,497.7,499,497,2.3,3,1,0.0,0,0,0.05,42
8201,2,494.0,499,489,5.9,11,1,0.1,1,0,0.05,42
8202,3,487.6,499,479,11.3,18,1,1.1,3,0,0.05,42
8203,4,475.0,497,452,23.2,43,2,1.8,5,0,0.05,42
8204,5,448.8,496,408,46.8,81,3,4.4,11,0,0.05,42
8205,6,403.6,494,335,88.3,145,5,8.1,20,1,0.05,42
8206,7,331.5,491,222,152.4,248,7,16.1,30,2,0.05,42
8207,8,244.1,483,125,228.0,326,14,27.9,54,3,0.05,42
8208,9,163.1,465,66,296.2,389,32,40.7,71,3,0.05,42
8209,10,102.5,432,30,341.5,401,62,56.0,80,6,0.05,42
8210,11,62.7,376,9,366.2,407,114,71.1,95,10,0.05,42
8211,12,39.5,296,2,374.3,416,185,86.2,109,19,0.05,42
8212,13,26.0,205,1,373.6,410,270,100.4,130,25,0.05,42
8213,14,13.1,107,0,371.8,397,351,115.1,143,42,0.05,42
8214,15,5.4,39,0,364.5,402,335,130.1,163,59,0.05,42
8215,16,2.0,17,0,354.3,405,329,143.7,170,78,0.05,42
8216,17,0.7,6,0,341.2,398,315,158.1,185,96,0.05,42
8217,18,0.3,2,0,326.7,386,301,173.0,199,112,0.05,42
8218,19,0.2,1,0,313.5,372,284,186.3,216,127,0.05,42
8219,20,0.1,1,0,302.7,355,277,197.2,223,145,0.05,42
8220,21,0.0,0,0,291.4,343,269,208.6,231,157,0.05,42
8221,22,0.0,0,0,279.0,324,258,221.0,242,176,0.05,42
8222,23,0.0,0,0,266.5,312,244,233.5,256,188,0.05,42
8223,24,0.0,0,0,255.8,298,232,244.2,268,202,0.05,42
8224,25,0.0,0,0,245.7,284,221,254.3,279,216,0.05,42
8225,26,0.0,0,0,235.5,276,209,264.5,291,224,0.05,42
8226,27,0.0,0,0,226.4,261,202,273.6,298,239,0.05,42
8227,28,0.0,0,0,217.6,254,192,282.4,308,246,0.05,42
8228,29,0.0,0,0,208.4,243,183,291.6,317,257,0.05,42
8229,30,0.0,0,0,200.8,236,173,299.2,327,264,0.05,42
8230,31,0.0,0,0,193.1,226,165,306.9,335,274,0.05,42
8231,32,0.0,0,0,186.8,219,160,313.2,340,281,0.05,42
8232,33,0.0,0,0,180.6,210,157,319.4,343,290,0.05,42
8233,34,0.0,0,0,173.2,201,149,326.8,351,299,0.05,42
8234,35,0.0,0,0,165.9,191,140,334.1,360,309,0.05,42
8235,36,0.0,0,0,159.1,182,132,340.9,368,318,0.05,42
8236,37,0.0,0,0,152.5,172,127,347.5,373,328,0.05,42
8237,38,0.0,0,0,147.3,170,122,352.7,378,330,0.05,42
8238,39,0.0,0,0,141.7,165,121,358.3,379,335,0.05,42
8239,40,0.0,0,0,137.0,160,116,363.0,384,340,0.05,42
8240,41,0.0,0,0,132.4,155,112,367.6,388,345,0.05,42
8241,42,0.0,0,0,126.2,149,104,373.8,396,351,0.05,42
8242,43,0.0,0,0,120.7,145,99,379.3,401,355,0.05,42
8243,44,0.0,0,0,117.7,142,97,382.3,403,358,0.05,42
8244,45,0.0,0,0,114.1,134,94,385.9,406,366,0.05,42
8245,46,0.0,0,0,110.1,132,88,389.9,412,368,0.05,42
8246,47,0.0,0,0,105.5,125,87,394.5,413,375,0.05,42
8247,48,0.0,0,0,101.1,123,83,398.9,417,377,0.05,42
8248,49,0.0,0,0,98.2,121,80,401.8,420,379,0.05,42
8249,50,0.0,0,0,94.2,116,75,405.8,425,384,0.05,42
8250,51,0.0,0,0,91.2,113,72,408.8,428,387,0.05,42
8251,52,0.0,0,0,88.9,111,70,411.1,430,389,0.05,42
8252,53,0.0,0,0,85.5,108,69,414.5,431,392,0.05,42
8253,54,0.0,0,0,82.4,108,66,417.6,434,392,0.05,42
8254,55,0.0,0,0,78.2,104,65,421.8,435,396,0.05,42
8255,56,0.0,0,0,74.6,101,63,425.4,437,399,0.05,42
8256,57,0.0,0,0,72.5,97,61,427.5,439,403,0.05,42
8257,58,0.0,0,0,69.0,91,58,431.0,442,409,0.05,42
8258,59,0.0,0,0,67.2,89,57,432.8,443,411,0.05,42
8259,60,0.0,0,0,65.2,86,54,434.8,446,414,0.05,42
8260,61,0.0,0,0,62.6,83,52,437.4,448,417,0.05,42
8261,62,0.0,0,0,60.5,77,51,439.5,449,423,0.05,42
8262,63,0.0,0,0,58.1,75,49,441.9,451,425,0.05,42
8263,64,0.0,0,0,55.7,73,47,444.3,453,427,0.05,42
8264,65,0.0,0,0,53.1,72,44,446.9,456,428,0.05,42
8265,66,0.0,0,0,50.8,68,42,449.2,458,432,0.05,42
8266,67,0.0,0,0,48.9,67,38,451.1,462,433,0.05,42
8267,68,0.0,0,0,47.1,64,38,452.9,462,436,0.05,42
8268,69,0.0,0,0,45.0,61,33,455.0,467,439,0.05,42
8269,70,0.0,0,0,43.0,60,29,457.0,471,440,0.05,42
8270,71,0.0,0,0,41.5,59,28,458.5,472,441,0.05,42
8271,72,0.0,0,0,39.8,57,27,460.2,473,443,0.05,42
8272,73,0.0,0,0,37.9,51,26,462.1,474,449,0.05,42
8273,74,0.0,0,0,36.5,50,25,463.5,475,450,0.05,42
8274,75,0.0,0,0,34.7,47,24,465.3,476,453,0.05,42
8275,76,0.0,0,0,33.7,46,24,466.3,476,454,0.05,42
8276,77,0.0,0,0,32.7,46,23,467.3,477,454,0.05,42
8277,78,0.0,0,0,31.7,46,22,468.3,478,454,0.05,42
8278,79,0.0,0,0,29.6,43,21,470.4,479,457,0.05,42
8279,80,0.0,0,0,28.3,42,21,471.7,479,458,0.05,42
8280,81,0.0,0,0,27.5,40,20,472.5,480,460,0.05,42
8281,82,0.0,0,0,26.5,39,20,473.5,480,461,0.05,42
8282,83,0.0,0,0,25.6,37,19,474.4,481,463,0.05,42
8283,84,0.0,0,0,24.6,35,18,475.4,482,465,0.05,42
8284,85,0.0,0,0,23.9,35,17,476.1,483,465,0.05,42
8285,86,0.0,0,0,23.5,34,17,476.5,483,466,0.05,42
8286,87,0.0,0,0,22.5,33,16,477.5,484,467,0.05,42
8287,88,0.0,0,0,21.5,29,15,478.5,485,471,0.05,42
8288,89,0.0,0,0,20.7,28,12,479.3,488,472,0.05,42
8289,90,0.0,0,0,20.1,28,12,479.9,488,472,0.05,42
8290,91,0.0,0,0,19.2,26,11,480.8,489,474,0.05,42
8291,92,0.0,0,0,17.9,24,10,482.1,490,476,0.05,42
8292,93,0.0,0,0,17.3,23,10,482.7,490,477,0.05,42
8293,94,0.0,0,0,16.8,22,9,483.2,491,478,0.05,42
8294,95,0.0,0,0,16.1,21,9,483.9,491,479,0.05,42
8295,96,0.0,0,0,15.4,21,8,484.6,492,479,0.05,42
8296,97,0.0,0,0,14.6,20,7,485.4,493,480,0.05,42
8297,98,0.0,0,0,13.5,19,5,486.5,495,481,0.05,42
8298,99,0.0,0,0,13.0,18,5,487.0,495,482,0.05,42
8299,100,0.0,0,0,12.6,17,5,487.4,495,483,0.05,42
8300,101,0.0,0,0,12.2,17,5,487.8,495,483,0.05,42
8301,102,0.0,0,0,11.7,17,5,488.3,495,483,0.05,42
8302,103,0.0,0,0,11.3,17,5,488.7,495,483,0.05,42
8303,104,0.0,0,0,10.9,16,5,489.1,495,484,0.05,42
8304,105,0.0,0,0,10.6,16,5,489.4,495,484,0.05,42
8305,106,0.0,0,0,10.3,16,5,489.7,495,484,0.05,42
8306,107,0.0,0,0,9.6,16,4,490.4,496,484,0.05,42
8307,108,0.0,0,0,9.1,15,4,490.9,496,485,0.05,42
8308,109,0.0,0,0,8.6,15,4,491.4,496,485,0.05,42
8309,110,0.0,0,0,8.4,14,4,491.6,496,486,0.05,42
8310,111,0.0,0,0,7.9,13,4,492.1,496,487,0.05,42
8311,112,0.0,0,0,7.8,13,4,492.2,496,487,0.05,42
8312,113,0.0,0,0,7.5,13,3,492.5,497,487,0.05,42
8313,114,0.0,0,0,7.1,13,3,492.9,497,487,0.05,42
8314,115,0.0,0,0,7.0,13,3,493.0,497,487,0.05,42
8315,116,0.0,0,0,6.5,12,3,493.5,497,488,0.05,42
8316,117,0.0,0,0,6.2,12,3,493.8,497,488,0.05,42
8317,118,0.0,0,0,6.0,11,3,494.0,497,489,0.05,42
8318,119,0.0,0,0,5.7,11,2,494.3,498,489,0.05,42
8319,120,0.0,0,0,5.2,11,1,494.8,499,489,0.05,42
8320,121,0.0,0,0,5.0,11,1,495.0,499,489,0.05,42
8321,122,0.0,0,0,4.8,11,1,495.2,499,489,0.05,42
8322,123,0.0,0,0,4.6,11,1,495.4,499,489,0.05,42
8323,124,0.0,0,0,4.5,11,1,495.5,499,489,0.05,42
8324,125,0.0,0,0,4.4,11,1,495.6,499,489,0.05,42
8325,126,0.0,0,0,4.4,11,1,495.6,499,489,0.05,42
8326,127,0.0,0,0,4.4,11,1,495.6,499,489,0.05,42
8327,128,0.0,0,0,4.2,11,1,495.8,499,489,0.05,42
8328,129,0.0,0,0,4.0,11,1,496.0,499,489,0.05,42
8329,130,0.0,0,0,3.9,10,1,496.1,499,490,0.05,42
8330,131,0.0,0,0,3.6,9,1,496.4,499,491,0.05,42
8331,132,0.0,0,0,3.5,9,1,496.5,499,491,0.05,42
8332,133,0.0,0,0,3.1,8,1,496.9,499,492,0.05,42
8333,134,0.0,0,0,3.1,8,1,496.9,499,492,0.05,42
8334,135,0.0,0,0,3.1,8,1,496.9,499,492,0.05,42
8335,136,0.0,0,0,2.7,5,1,497.3,499,495,0.05,42
8336,137,0.0,0,0,2.4,4,1,497.6,499,496,0.05,42
8337,138,0.0,0,0,2.2,4,1,497.8,499,496,0.05,42
8338,139,0.0,0,0,2.2,4,1,497.8,499,496,0.05,42
8339,140,0.0,0,0,2.1,3,1,497.9,499,497,0.05,42
8340,141,0.0,0,0,1.9,3,1,498.1,499,497,0.05,42
8341,142,0.0,0,0,1.9,3,1,498.1,499,497,0.05,42
8342,143,0.0,0,0,1.8,3,1,498.2,499,497,0.05,42
8343,144,0.0,0,0,1.7,3,1,498.3,499,497,0.05,42
8344,145,0.0,0,0,1.7,3,1,498.3,499,497,0.05,42
8345,146,0.0,0,0,1.7,3,1,498.3,499,497,0.05,42
8346,147,0.0,0,0,1.6,3,1,498.4,499,497,0.05,42
8347,148,0.0,0,0,1.5,3,1,498.5,499,497,0.05,42
8348,149,0.0,0,0,1.5,3,1,498.5,499,497,0.05,42
8349,150,0.0,0,0,1.5,3,1,498.5,499,497,0.05,42
8350,151,0.0,0,0,1.5,3,1,498.5,499,497,0.05,42
8351,152,0.0,0,0,1.5,3,1,498.5,499,497,0.05,42
8352,153,0.0,0,0,1.2,2,1,498.8,499,498,0.05,42
8353,154,0.0,0,0,1.1,2,0,498.9,500,498,0.05,42
8354,155,0.0,0,0,0.9,2,0,499.1,500,498,0.05,42
8355,156,0.0,0,0,0.9,2,0,499.1,500,498,0.05,42
8356,157,0.0,0,0,0.9,2,0,499.1,500,498,0.05,42
8357,158,0.0,0,0,0.9,2,0,499.1,500,498,0.05,42
8358,159,0.0,0,0,0.8,2,0,499.2,500,498,0.05,42
8359,160,0.0,0,0,0.7,1,0,499.3,500,499,0.05,42
8360,161,0.0,0,0,0.7,1,0,499.3,500,499,0.05,42
8361,162,0.0,0,0,0.7,1,0,499.3,500,499,0.05,42
8362,163,0.0,0,0,0.7,1,0,499.3,500,499,0.05,42
8363,164,0.0,0,0,0.6,1,0,499.4,500,499,0.05,42
8364,165,0.0,0,0,0.5,1,0,499.5,500,499,0.05,42
8365,166,0.0,0,0,0.5,1,0,499.5,500,499,0.05,42
8366,167,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8367,168,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8368,169,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8369,170,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8370,171,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8371,172,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8372,173,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8373,174,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8374,175,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8375,176,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8376,177,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8377,178,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8378,179,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8379,180,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8380,181,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8381,182,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8382,183,0.0,0,0,0.4,1,0,499.6,500,499,0.05,42
8383,184,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8384,185,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8385,186,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8386,187,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8387,188,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8388,189,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8389,190,0.0,0,0,0.3,1,0,499.7,500,499,0.05,42
8390,191,0.0,0,0,0.2,1,0,499.8,500,499,0.05,42
8391,192,0.0,0,0,0.2,1,0,499.8,500,499,0.05,42
8392,193,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8393,194,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8394,195,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8395,196,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8396,197,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8397,198,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8398,199,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8399,200,0.0,0,0,0.1,1,0,499.9,500,499,0.05,42
8400,1,497.8,499,496,2.1,3,1,0.1,1,0,0.05,49
8401,2,494.5,499,489,5.3,11,1,0.2,1,0,0.05,49
8402,3,488.3,499,478,11.0,22,1,0.7,2,0,0.05,49
8403,4,476.2,497,451,22.0,46,3,1.8,4,0,0.05,49
8404,5,453.0,495,395,42.9,98,4,4.1,7,0,0.05,49
8405,6,411.1,495,319,81.6,166,3,7.3,15,1,0.05,49
8406,7,340.4,492,210,146.0,262,6,13.6,28,1,0.05,49
8407,8,256.3,484,115,220.1,344,13,23.6,41,3,0.05,49
8408,9,181.9,476,50,282.4,394,18,35.7,56,6,0.05,49
8409,10,126.7,452,26,324.9,414,42,48.4,77,6,0.05,49
8410,11,88.1,414,11,347.8,417,76,64.1,95,10,0.05,49
8411,12,60.6,356,5,359.5,424,130,79.9,114,14,0.05,49
8412,13,35.4,249,1,369.8,412,231,94.8,128,20,0.05,49
8413,14,18.6,141,0,370.6,402,326,110.8,138,33,0.05,49
8414,15,9.0,61,0,368.9,401,348,122.1,151,42,0.05,49
8415,16,3.6,23,0,357.5,415,331,138.9,168,62,0.05,49
8416,17,1.4,8,0,344.6,413,315,154.0,184,79,0.05,49
8417,18,0.7,3,0,332.1,392,300,167.2,199,105,0.05,49
8418,19,0.1,1,0,318.6,383,288,181.3,212,116,0.05,49
8419,20,0.0,0,0,304.6,373,275,195.4,225,127,0.05,49
8420,21,0.0,0,0,292.7,358,260,207.3,240,142,0.05,49
8421,22,0.0,0,0,279.7,337,253,220.3,247,163,0.05,49
8422,23,0.0,0,0,267.7,319,240,232.3,260,181,0.05,49
8423,24,0.0,0,0,256.1,308,226,243.9,274,192,0.05,49
8424,25,0.0,0,0,247.0,298,217,253.0,283,202,0.05,49
8425,26,0.0,0,0,237.8,286,207,262.2,293,214,0.05,49
8426,27,0.0,0,0,228.4,277,201,271.6,299,223,0.05,49
8427,28,0.0,0,0,221.2,272,196,278.8,304,228,0.05,49
8428,29,0.0,0,0,212.2,255,189,287.8,311,245,0.05,49
8429,30,0.0,0,0,202.0,244,182,298.0,318,256,0.05,49
8430,31,0.0,0,0,194.9,236,172,305.1,328,264,0.05,49
8431,32,0.0,0,0,188.3,231,161,311.7,339,269,0.05,49
8432,33,0.0,0,0,180.6,224,153,319.4,347,276,0.05,49
8433,34,0.0,0,0,173.3,215,149,326.7,351,285,0.05,49
8434,35,0.0,0,0,168.7,207,143,331.3,357,293,0.05,49
8435,36,0.0,0,0,162.4,200,138,337.6,362,300,0.05,49
8436,37,0.0,0,0,157.1,191,134,342.9,366,309,0.05,49
8437,38,0.0,0,0,152.3,189,128,347.7,372,311,0.05,49
8438,39,0.0,0,0,146.3,180,124,353.7,376,320,0.05,49
8439,40,0.0,0,0,140.2,175,119,359.8,381,325,0.05,49
8440,41,0.0,0,0,134.9,166,114,365.1,386,334,0.05,49
8441,42,0.0,0,0,128.9,162,109,371.1,391,338,0.05,49
8442,43,0.0,0,0,125.3,157,108,374.7,392,343,0.05,49
8443,44,0.0,0,0,119.0,149,101,381.0,399,351,0.05,49
8444,45,0.0,0,0,115.2,141,101,384.8,399,359,0.05,49
8445,46,0.0,0,0,109.9,129,98,390.1,402,371,0.05,49
8446,47,0.0,0,0,104.3,125,93,395.7,407,375,0.05,49
8447,48,0.0,0,0,99.9,117,88,400.1,412,383,0.05,49
8448,49,0.0,0,0,96.7,114,83,403.3,417,386,0.05,49
8449,50,0.0,0,0,93.6,113,77,406.4,423,387,0.05,49
8450,51,0.0,0,0,89.3,108,72,410.7,428,392,0.05,49
8451,52,0.0,0,0,85.9,102,68,414.1,432,398,0.05,49
8452,53,0.0,0,0,82.4,97,62,417.6,438,403,0.05,49
8453,54,0.0,0,0,79.0,92,61,421.0,439,408,0.05,49
8454,55,0.0,0,0,74.3,86,57,425.7,443,414,0.05,49
8455,56,0.0,0,0,71.8,83,57,428.2,443,417,0.05,49
8456,57,0.0,0,0,68.5,79,56,431.5,444,421,0.05,49
8457,58,0.0,0,0,66.2,79,54,433.8,446,421,0.05,49
8458,59,0.0,0,0,64.2,77,53,435.8,447,423,0.05,49
8459,60,0.0,0,0,62.7,76,52,437.3,448,424,0.05,49
8460,61,0.0,0,0,60.4,73,47,439.6,453,427,0.05,49
8461,62,0.0,0,0,57.8,67,45,442.2,455,433,0.05,49
8462,63,0.0,0,0,55.8,65,43,444.2,457,435,0.05,49
8463,64,0.0,0,0,53.7,65,40,446.3,460,435,0.05,49
8464,65,0.0,0,0,51.6,63,38,448.4,462,437,0.05,49
8465,66,0.0,0,0,49.3,62,37,450.7,463,438,0.05,49
8466,67,0.0,0,0,47.7,58,36,452.3,464,442,0.05,49
8467,68,0.0,0,0,45.7,52,34,454.3,466,448,0.05,49
8468,69,0.0,0,0,44.5,51,33,455.5,467,449,0.05,49
8469,70,0.0,0,0,43.2,49,31,456.8,469,451,0.05,49
8470,71,0.0,0,0,41.5,47,30,458.5,470,453,0.05,49
8471,72,0.0,0,0,40.2,47,26,459.8,474,453,0.05,49
8472,73,0.0,0,0,38.3,45,24,461.7,476,455,0.05,49
8473,74,0.0,0,0,37.3,45,22,462.7,478,455,0.05,49
8474,75,0.0,0,0,35.1,41,20,464.9,480,459,0.05,49
8475,76,0.0,0,0,33.7,40,20,466.3,480,460,0.05,49
8476,77,0.0,0,0,32.5,39,20,467.5,480,461,0.05,49
8477,78,0.0,0,0,31.3,39,19,468.7,481,461,0.05,49
8478,79,0.0,0,0,30.3,38,18,469.7,482,462,0.05,49
8479,80,0.0,0,0,28.5,36,18,471.5,482,464,0.05,49
