day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
103,0.08895999999999994,0.998,0.002,0.2708367201462753,0.24988,0.372,0.0,0.08106073308932994,0.6611599999999997,0.778,0.002,0.1994097780747893,0.9981947358687299,1.0,0.9930723376832609,0.0014540416952549319,0.900160546032606,1.0,0.8101119894598156,0.04654918274387834,0.997248925889715,1.0,0.9874949576442114,0.0023655728473001214,0.8588599972794833,1.0,0.625,0.08745189562945505
104,0.08855999999999993,0.998,0.002,0.27094936344457504,0.24444000000000002,0.364,0.0,0.07935072238396537,0.6669999999999999,0.782,0.002,0.20102360507144024,0.9983330443146375,1.0,0.9935556629611728,0.0013828528868451732,0.9047841990315629,1.0,0.8246047430830039,0.04571393586766638,0.9974490218030942,1.0,0.9878983461073013,0.0022800301168399723,0.8652995785891562,1.0,0.7,0.08212691833148918
105,0.08823999999999993,0.998,0.002,0.2710417213158844,0.23944,0.358,0.0,0.07779411865918388,0.6723200000000001,0.784,0.002,0.20248350298133388,0.9984456770863018,1.0,0.9937167713871435,0.0012843162484339984,0.9069446424609602,1.0,0.8387029637029637,0.0440081907520128,0.9976096619883762,1.0,0.9883017345703913,0.002212038356959657,0.8712249834532515,1.0,0.7142857142857143,0.07854392388224346
106,0.08803999999999995,0.998,0.002,0.27110100233932694,0.23508000000000007,0.354,0.0,0.07663239577119231,0.6768799999999999,0.794,0.002,0.20383192756258167,0.9985262075749737,1.0,0.9937167713871435,0.0012341229593341061,0.9091928303987994,1.0,0.8397215440853549,0.04320385168375788,0.9976813650889278,1.0,0.9887051230334812,0.002152733386515749,0.8723109198713307,1.0,0.7142857142857143,0.07732101113265089
107,0.08775999999999995,0.998,0.002,0.27118564768476244,0.23076,0.354,0.0,0.07513132991431655,0.6814800000000001,0.802,0.002,0.20505123700167815,0.9986128714025496,1.0,0.9940389882390849,0.00122280847782678,0.9138137580279967,1.0,0.8361936984938904,0.0431104521881379,0.9978192499065888,1.0,0.990722065348931,0.0019771570260656264,0.8755846471096302,1.0,0.7142857142857143,0.07824675110960494
108,0.08743999999999995,0.998,0.002,0.2712796704359483,0.22619999999999993,0.344,0.0,0.07376548609461954,0.6863600000000001,0.806,0.002,0.20640664836626732,0.9987219410195541,1.0,0.9942000966650556,0.0011347791785362056,0.917822275132037,1.0,0.8393186984938904,0.04138674466857717,0.9978990203379804,1.0,0.990722065348931,0.0019163514868166633,0.8754175956425789,1.0,0.7142857142857143,0.07912433115449105
109,0.08731999999999994,0.998,0.002,0.27131414430132306,0.2216400000000001,0.338,0.0,0.07263179716338893,0.69104,0.808,0.002,0.2077986623672844,0.9987670425841231,1.0,0.9943612050910262,0.0010850717383359854,0.9190894624882421,1.0,0.8436665245808468,0.04100444155237616,0.9979700990359441,1.0,0.990722065348931,0.00187384615851092,0.8762164171914003,1.0,0.7142857142857143,0.08038375461779906
110,0.08719999999999993,0.998,0.002,0.2713479579538315,0.21668000000000004,0.338,0.0,0.07110281144876318,0.6961200000000001,0.814,0.002,0.20921638442102014,0.9988347104414571,1.0,0.9948445303689383,0.0010203684814042964,0.9221017979667407,1.0,0.8461565785734584,0.04028950855554124,0.9980425574931223,1.0,0.9919322307382009,0.001782387488634261,0.8804118491378126,1.0,0.7142857142857143,0.07712174476574629
111,0.08691999999999993,0.998,0.002,0.27142773232953005,0.21264,0.336,0.0,0.07033730974992676,0.70044,0.816,0.002,0.21061204880547746,0.9989026453238472,1.0,0.9948445303689383,0.0009737171867278558,0.9228520388485859,1.0,0.8461565785734584,0.040651685984850944,0.998139779906909,1.0,0.9919322307382009,0.0017458042702986883,0.8837200089674007,1.0,0.7142857142857143,0.07685103482215483
112,0.08675999999999995,0.998,0.0,0.27147485019005774,0.20844000000000007,0.332,0.0,0.06889600563049164,0.7047999999999999,0.82,0.002,0.21177770401618617,0.9989700985879145,1.0,0.9948445303689383,0.0009543352135387969,0.9269720021102618,1.0,0.8461565785734584,0.04077732721485832,0.9982429428469862,1.0,0.9919322307382009,0.0017356146262814162,0.8914165023322084,1.0,0.725,0.0720492183708511
