day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount_mean,edgecount_max,edgecount_min,edgecount_std,suscedgecount_mean,suscedgecount_max,suscedgecount_min,suscedgecount_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
125,0.04163999999999999,0.998,0.0,0.19720731451434345,0.05135999999999999,0.088,0.0,0.016445035228708674,0.9070000000000004,0.966,0.002,0.18702580854316467,0.9619579021063548,1.0,0.9349714569372053,0.013071001987080794,0.8737464473972234,1.0,0.38461538461538464,0.18838906620336823,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9376249727065933,1.0,0.8936256597645148,0.02129773206618365,0.7677419354838709,1.0,0.2,0.33504934638964606
126,0.04163999999999999,0.998,0.0,0.19720731451434345,0.04988000000000001,0.086,0.0,0.016219967538154183,0.9084800000000002,0.966,0.002,0.18732817868813076,0.9630290675040412,1.0,0.93596425912137,0.012968938487453422,0.915227540291479,1.0,0.5,0.15885547479444734,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9393839511237728,1.0,0.8952496954933008,0.021131120233248576,0.8451612903225806,1.0,0.2,0.28616860959629997
127,0.04163999999999999,0.998,0.0,0.19720731451434345,0.04828000000000002,0.086,0.0,0.01616249122038368,0.91008,0.968,0.002,0.187671428027708,0.9631744019114129,1.0,0.9353437577562671,0.012858543568386322,0.862293825730923,1.0,0.5294117647058824,0.16115208021790556,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9396205278412372,1.0,0.8942346731628096,0.020954325112753677,0.7290322580645162,1.0,0.2,0.3164317181605923
128,0.04163999999999999,0.998,0.0,0.19720731451434345,0.04660000000000001,0.084,0.0,0.015868078597213557,0.9117599999999997,0.97,0.002,0.18801069878372045,0.9641054486267346,1.0,0.9333581533879375,0.012727008749724334,0.8722726145876051,1.0,0.38461538461538464,0.19676478247021212,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9411464625649368,1.0,0.8909866017052375,0.020739857347370827,0.7741935483870966,1.0,0.2,0.3376070121067628
129,0.04159999999999999,0.998,0.0,0.19721530759811828,0.04516000000000002,0.082,0.0,0.015555509556135423,0.9132399999999999,0.97,0.002,0.1883079934792022,0.9656099848084315,1.0,0.9393149664929263,0.012512554017978185,0.8937734361479146,1.0,0.5,0.17803253794753773,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9436159433937296,1.0,0.9007308160779537,0.020391767291227023,0.7935483870967741,1.0,0.2,0.33658627806350805
130,0.04151999999999998,0.998,0.0,0.19723044017243443,0.043720000000000016,0.08,0.0,0.015080789239347936,0.9147600000000001,0.97,0.002,0.1885934575877381,0.9661561798838096,1.0,0.9404318689501117,0.012611074094205109,0.9228664640728959,1.0,0.42857142857142855,0.17076264827777873,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9445147931221548,1.0,0.902557856272838,0.0205476143367216,0.8709677419354838,1.0,0.2,0.280705715874706
131,0.04147999999999999,0.998,0.0,0.19723757972846567,0.04268000000000002,0.078,0.0,0.01477234039738885,0.9158400000000003,0.97,0.002,0.18880108958523364,0.9669013084517541,1.0,0.9400595681310498,0.012346489684758275,0.8905114768079869,1.0,0.42857142857142855,0.18935082070619857,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9457368191688141,1.0,0.9019488428745432,0.020112647743102435,0.810752688172043,1.0,0.2,0.32253476376218027
132,0.04147999999999999,0.998,0.0,0.19723757972846567,0.04056000000000003,0.076,0.0,0.014439401875791541,0.9179599999999999,0.97,0.002,0.1892293673545091,0.968125983025024,1.0,0.9424174733184413,0.012018433276133328,0.9412042812252974,1.0,0.5,0.13056296677095794,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9477439778478448,1.0,0.90580592773041,0.019585122578804202,0.8924731182795699,1.0,0.2,0.22684791404184743
133,0.04147999999999999,0.998,0.0,0.19723757972846567,0.039560000000000026,0.074,0.0,0.01423012039761478,0.9189599999999999,0.972,0.002,0.18942845938372035,0.9687931164848663,1.0,0.9452717795979151,0.011765082909670294,0.8513706337235751,1.0,0.38461538461538464,0.2049756475929529,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9488373263606177,1.0,0.9104750304506699,0.019172026797874837,0.7204301075268814,1.0,0.2,0.3745295735101458
134,0.04147999999999999,0.998,0.0,0.19723757972846567,0.038240000000000024,0.074,0.0,0.013930673834003425,0.9202800000000002,0.972,0.002,0.18968588858038601,0.9693306878678416,1.0,0.9435343757756267,0.011700887291980423,0.8560757670402092,1.0,0.42857142857142855,0.20687415785117363,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9497182840737102,1.0,0.9076329679252944,0.01907272618089687,0.7419354838709676,1.0,0.2,0.36747060773724005
