day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
87,9.98,499,0,70.21194177400855,18.71,30,0,5.2575967164022055,471.31,492,1,67.6766965249136,0.03,20
88,9.98,499,0,70.21194177400855,18.11,30,0,5.1067295668252175,471.91,492,1,67.75447281071995,0.03,20
89,9.98,499,0,70.21194177400855,17.47,28,0,4.965446260474134,472.55,493,1,67.83914054510853,0.03,20
90,9.98,499,0,70.21194177400855,16.9,27,0,4.825228314062276,473.12,493,1,67.91368258921233,0.03,20
91,9.98,499,0,70.21194177400855,16.08,27,0,4.631207273279917,473.94,494,1,68.02180577289947,0.03,20
92,9.98,499,0,70.21194177400855,15.37,27,0,4.534168817841576,474.65,494,1,68.12041848184299,0.03,20
93,9.98,499,0,70.21194177400855,14.75,26,0,4.423022870518681,475.27,494,1,68.20480965889473,0.03,20
94,9.98,499,0,70.21194177400855,14.13,25,0,4.4053571611359414,475.89,494,1,68.2952436340211,0.03,20
95,9.98,499,0,70.21194177400855,13.61,24,0,4.350536945846079,476.41,494,1,68.36844552448406,0.03,20
96,9.98,499,0,70.21194177400855,12.97,23,0,4.21506437397671,477.05,494,1,68.45427213649542,0.03,20
97,9.98,499,0,70.21194177400855,12.45,21,0,4.008513666957095,477.57,494,1,68.51841233043005,0.03,20
98,9.98,499,0,70.21194177400855,11.91,20,0,3.864092664677198,478.11,495,1,68.58952639662364,0.03,20
99,9.98,499,0,70.21194177400855,11.51,20,0,3.6968318404500975,478.51,496,1,68.63907874755554,0.03,20
100,9.98,499,0,70.21194177400855,11.1,18,0,3.594327742317318,478.92,496,1,68.69382810851366,0.03,20
101,9.98,499,0,70.21194177400855,10.59,17,0,3.432156314869264,479.43,496,1,68.76034430901979,0.03,20
102,9.98,499,0,70.21194177400855,10.18,17,0,3.3223455265790456,479.84,496,1,68.81503829069266,0.03,20
103,9.98,499,0,70.21194177400855,9.83,17,0,3.3091699957249188,480.19,497,1,68.86565680271035,0.03,20
104,9.98,499,0,70.21194177400855,9.35,17,0,3.1538816872181004,480.67,497,1,68.92860528302184,0.03,20
105,9.98,499,0,70.21194177400855,8.92,16,0,3.1129576049964207,481.1,498,1,68.98960542404672,0.03,20
106,9.98,499,0,70.21194177400855,8.61,15,0,3.0147616620203803,481.41,498,1,69.03052977055907,0.03,20
