,day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,cluster_mean,cluster_min,cluster_max,cluster_std,centrality_mean,centrality_min,centrality_max,centrality_std,connectivity_mean,connectivity_min,connectivity_max,connectivity_std
23,24,71.1,13,499,150.52903005363746,258.6,0,313,92.23785677379013,170.3,1,212,61.83499548529672,0.9711923502169547,0.9506626217467667,1.0,0.01574781723502631,0.6561355669428692,0.5713034152280427,1.0,0.12368065399874796,0.049999350779138696,0.0496612450489834,0.05049716274574207,0.0002369496402790094,0.04875270541082159,0.04772745490981961,0.05021242484969935,0.0007919566523757899,8.0,6,11,1.5634719199411433
24,25,67.8,11,499,151.66395601973318,250.2,0,301,89.1575384735731,182.0,1,225,65.68104749469211,0.976669599481063,0.9551333226888072,1.0,0.013667628642198825,0.6664560833760864,0.5873857925955441,1.0,0.12001875968569588,0.0500626769947216,0.04955004945628614,0.05049716274574207,0.00031639685191338856,0.049027655310621206,0.047951903807615215,0.05021242484969935,0.0006876345657696308,8.3,6,11,1.3374935098492586
25,26,65.1,9,499,152.58181776054155,242.9,0,292,86.67237160710441,192.0,1,238,69.0860976527759,0.9807253503790576,0.9637380191693291,1.0,0.01137633695866963,0.6704940329899631,0.5746837204890091,1.0,0.12024020540483683,0.05020146405186112,0.04971459591236901,0.05075713707878803,0.0003241481464613836,0.04923126252505005,0.04836072144288572,0.05021242484969935,0.0005741677845312087,8.2,6,11,1.3165611772087666
26,27,62.8,7,499,153.3418838195662,237.1,0,285,84.61212153770352,200.1,1,247,71.6712401641458,0.9846697391930037,0.9718849840255591,1.0,0.009131949746961127,0.6880464611807564,0.5755161413257761,1.0,0.11592115425382366,0.05026041845804803,0.049640495394966296,0.050574464262051005,0.00029020803495381184,0.04942925851703402,0.04876953907815628,0.05021242484969935,0.00046138514660640234,8.6,6,11,1.4298407059684812
27,28,60.7,7,499,154.03899217766622,228.7,0,274,81.36071943306959,210.6,1,256,74.80968445922554,0.9876239854672957,0.9784345047923323,1.0,0.006707650487129215,0.6938459971182452,0.5800508324612766,1.0,0.11347145494129848,0.050303787635682995,0.0500678681006357,0.050525622610513715,0.00015553113684846836,0.0495775551102204,0.049098196392785516,0.05021242484969935,0.00034027612872385577,8.7,6,11,1.4944341180973264
28,29,58.9,6,499,154.66411635828425,222.2,0,269,79.12830649577235,218.9,1,267,77.72665780369907,0.9902110237456287,0.9824393358876118,1.0,0.00535634470196716,0.7049468816141261,0.59717675225411,1.0,0.10974273074178656,0.05033387346567186,0.05012266303632003,0.05060782341533668,0.0001459653475457411,0.04970741482965928,0.049330661322645276,0.05021242484969935,0.00027202066196658006,9.1,5,11,1.8529256146249728
29,30,57.7,6,499,155.07134558719164,215.0,0,262,76.75791671077178,227.3,1,273,80.77685312018536,0.9920474723643211,0.985632183908046,1.0,0.004077077204543584,0.7189077902292812,0.6126893168813702,1.0,0.10591208525875281,0.05038165283115166,0.0501446006630399,0.05067984555514376,0.0001554369139963886,0.04979959919839676,0.04949098196392783,0.05021242484969935,0.00020794527266855098,9.4,5,11,1.837873166945363
30,31,57.5,6,499,155.1409753167171,207.3,0,252,73.7654691874487,235.2,1,280,83.21297975676632,0.9925743534900114,0.986749680715198,1.0,0.003884777104369492,0.7312645775088729,0.6453742743474201,1.0,0.10203578737419688,0.050417185829986375,0.05026792801605091,0.05063165530989892,0.00011494956411584826,0.049826052104208374,0.04954709418837671,0.05021242484969935,0.00019959043458165463,9.5,5,11,1.90029237516523
31,32,56.8,4,499,155.38897429783535,199.9,0,245,71.20931586995248,243.3,1,287,86.02202560326563,0.9936123249204742,0.9889846743295019,1.0,0.003631334974761782,0.7491090398809344,0.6619901946416735,1.0,0.09785304489987375,0.05038472211774285,0.05011827996850274,0.05049716274574207,0.00012182151669727935,0.04987815631262521,0.049651302605210376,0.05021242484969935,0.00018696629876267286,9.7,5,11,1.8885620632287057
32,33,55.7,4,499,155.76552892087517,191.6,0,238,68.72845116834803,252.7,1,299,89.53590217213304,0.9949537035813167,0.9909003831417624,1.0,0.0026456709371658537,0.7604156221342235,0.6547806715105847,1.0,0.09578200137461267,0.05041638872700932,0.05022339960437457,0.05049716274574207,9.051610683647653e-05,0.04994549098196388,0.04975551102204405,0.05021242484969935,0.00013879288777821292,10.2,6,11,1.6193277068654826
