day_lags,m
0,37
8,38
0,38
0,38
1,38
0,38
0,38
0,38
6,38
5,38
1,38
7,38
6,38
1,38
5,38
1,38
6,38
0,38
7,38
5,38
1,38
1,38
8,38
0,38
1,38
1,38
1,38
5,38
0,38
1,38
4,38
1,38
6,38
0,38
5,38
0,38
1,38
1,38
5,38
1,38
8,38
5,38
7,38
1,38
1,38
0,38
0,38
0,38
6,38
5,38
1,38
0,39
1,39
0,39
1,39
1,39
5,39
1,39
0,39
0,39
7,39
0,39
5,39
6,39
6,39
1,39
1,39
0,39
7,39
1,39
5,39
6,39
8,39
1,39
0,39
0,39
1,39
1,39
1,39
0,39
1,39
1,39
1,39
0,39
0,39
1,39
7,39
0,39
0,39
1,39
1,39
0,39
0,39
6,39
0,39
0,39
1,39
6,39
1,39
1,39
4,39
0,40
1,40
6,40
0,40
1,40
0,40
8,40
1,40
0,40
0,40
1,40
0,40
0,40
0,40
6,40
5,40
1,40
0,40
5,40
1,40
5,40
0,40
0,40
6,40
0,40
6,40
6,40
1,40
0,40
1,40
1,40
0,40
0,40
7,40
0,40
0,40
7,40
0,40
1,40
1,40
1,40
0,40
0,40
1,40
0,40
1,40
1,40
6,40
1,40
1,40
0,41
5,41
0,41
0,41
0,41
5,41
0,41
0,41
0,41
1,41
1,41
1,41
1,41
1,41
1,41
1,41
0,41
0,41
0,41
0,41
0,41
7,41
0,41
0,41
0,41
0,41
1,41
0,41
1,41
0,41
7,41
1,41
1,41
1,41
1,41
1,41
0,41
0,41
0,41
0,41
1,41
1,41
0,41
0,41
0,41
1,41
1,41
0,41
6,41
1,41
0,42
1,42
0,42
1,42
0,42
1,42
0,42
1,42
0,42
0,42
1,42
0,42
1,42
1,42
1,42
1,42
1,42
0,42
1,42
1,42
0,42
0,42
0,42
1,42
0,42
1,42
0,42
1,42
1,42
1,42
0,42
0,42
0,42
6,42
1,42
0,42
1,42
1,42
1,42
1,42
0,42
0,42
0,42
0,42
1,42
1,42
0,42
1,42
0,42
0,42
6,43
1,43
1,43
0,43
1,43
0,43
0,43
0,43
1,43
1,43
0,43
1,43
1,43
0,43
0,43
0,43
1,43
5,43
0,43
0,43
1,43
6,43
0,43
0,43
0,43
1,43
0,43
0,43
1,43
0,43
0,43
1,43
0,43
1,43
1,43
8,43
1,43
0,43
1,43
0,43
0,43
0,43
1,43
1,43
1,43
0,43
0,43
0,43
1,43
0,43
0,44
1,44
1,44
1,44
1,44
0,44
1,44
1,44
0,44
0,44
0,44
0,44
0,44
0,44
1,44
0,44
0,44
0,44
0,44
1,44
1,44
1,44
1,44
1,44
0,44
0,44
0,44
0,44
0,44
0,44
0,44
1,44
1,44
0,44
1,44
1,44
1,44
1,44
1,44
1,44
0,44
1,44
0,44
0,44
0,44
1,44
0,44
0,44
0,44
0,44
0,45
1,45
1,45
1,45
0,45
0,45
1,45
1,45
0,45
0,45
0,45
0,45
1,45
1,45
0,45
1,45
1,45
0,45
0,45
1,45
0,45
0,45
1,45
1,45
1,45
5,45
0,45
1,45
0,45
0,45
1,45
0,45
0,45
0,45
0,45
1,45
0,45
1,45
1,45
1,45
1,45
0,45
0,45
0,45
0,45
1,45
1,45
1,45
0,45
1,45
0,46
0,46
1,46
0,46
0,46
0,46
0,46
0,46
1,46
0,46
1,46
1,46
1,46
0,46
0,46
1,46
0,46
1,46
0,46
1,46
0,46
0,46
0,46
0,46
1,46
0,46
1,46
1,46
1,46
0,46
0,46
0,46
0,46
1,46
1,46
1,46
1,46
0,46
1,46
0,46
1,46
0,46
0,46
0,46
0,46
1,46
0,46
0,46
1,46
0,46
1,47
0,47
1,47
0,47
0,47
0,47
1,47
0,47
1,47
0,47
0,47
0,47
1,47
0,47
1,47
1,47
0,47
0,47
1,47
1,47
1,47
0,47
0,47
0,47
1,47
0,47
0,47
0,47
1,47
0,47
0,47
0,47
1,47
0,47
1,47
1,47
0,47
0,47
0,47
0,47
0,47
0,47
1,47
0,47
0,47
0,47
1,47
1,47
1,47
1,47
1,48
1,48
1,48
1,48
0,48
0,48
1,48
0,48
0,48
1,48
0,48
1,48
0,48
0,48
1,48
0,48
0,48
0,48
0,48
1,48
0,48
1,48
0,48
0,48
0,48
0,48
0,48
0,48
0,48
0,48
1,48
0,48
1,48
1,48
1,48
0,48
0,48
0,48
0,48
0,48
0,48
1,48
1,48
1,48
0,48
1,48
0,48
0,48
0,48
0,48
1,49
0,49
1,49
0,49
0,49
1,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
1,49
1,49
0,49
0,49
0,49
1,49
0,49
0,49
0,49
0,49
1,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
0,49
1,49
0,49
1,49
1,49
0,49
0,49
0,49
0,49
0,49
1,49
1,49
0,49
0,49
1,49
0,50
1,50
0,50
1,50
1,50
1,50
0,50
0,50
0,50
0,50
0,50
0,50
1,50
1,50
0,50
0,50
1,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
1,50
0,50
1,50
0,50
0,50
1,50
0,50
1,50
0,50
1,50
0,50
0,50
0,50
0,50
1,50
1,50
0,50
1,50
0,50
1,50
0,50
0,50
0,50
1,50
1,50
0,50
