day,L1_mean,L1_max,L1_min,L1_std,L2_mean,L2_max,L2_min,L2_std
88,20.58004,41,6,4.645313418475677,8.72672,10,0,3.3314504324812386
89,20.61032,42,5,4.641143297296924,8.76672,10,0,3.286154651579217
90,20.64712,41,6,4.6726040956581745,8.79748,10,0,3.250170486901837
91,20.68592,41,6,4.633319809779852,8.83604,10,0,3.20482884964521
92,20.7202,40,3,4.666011447319125,8.87416,10,0,3.1589370759383555
93,20.74212,42,6,4.666485717234964,8.90932,10,0,3.1158250066746147
94,20.76936,44,6,4.678717859246511,8.94536,10,0,3.0691026776649015
95,20.81108,41,6,4.648089222781435,8.9816,10,0,3.0230492872395818
96,20.83048,41,4,4.679536183421995,9.00728,10,0,2.9883614596913484
97,20.85352,41,3,4.656605090453642,9.04104,10,0,2.9428323310860076
98,20.88248,43,5,4.678027833112622,9.06608,10,0,2.9078465668714846
99,20.90224,41,6,4.653397591735104,9.09072,10,0,2.872786103697923
100,20.92428,46,6,4.686711543524272,9.1232,10,0,2.82686069795741
101,20.9476,43,6,4.685088285410397,9.14792,10,0,2.789557480826949
102,20.98708,40,6,4.696214991991969,9.17696,10,0,2.747105207646937
103,21.00684,40,5,4.690730575564265,9.19996,10,0,2.7110348553272865
104,21.02808,41,5,4.688574497950628,9.22336,10,0,2.675218978376027
105,21.0492,40,5,4.699095936465325,9.24824,10,0,2.635407884443829
106,21.04936,42,5,4.7188106846292435,9.26664,10,0,2.604990316562028
107,21.07352,45,5,4.735116858417146,9.288,10,0,2.570003929337057
108,21.10016,44,5,4.715088255450828,9.30808,10,0,2.536072550255451
109,21.1226,41,6,4.696140052133826,9.33416,10,0,2.4917033205856347
110,21.14836,42,6,4.701033216105994,9.35668,10,0,2.4519420585312206
111,21.15652,43,6,4.723790221565968,9.37884,10,0,2.4124910484647195
112,21.17488,42,4,4.73449401762682,9.39712,10,0,2.379185181209113
113,21.19052,40,6,4.726156534841348,9.41484,10,0,2.345959913450493
114,21.20324,42,5,4.7061427319596385,9.4322,10,0,2.3133562684309923
115,21.2072,41,4,4.71530672647083,9.44644,10,0,2.2854978158840176
116,21.22232,41,5,4.706431752144453,9.46164,10,0,2.2556799493902853
117,21.25016,44,5,4.720499051885522,9.47744,10,0,2.223206862248784
118,21.26768,41,5,4.736796903752177,9.49312,10,0,2.192492861242167
119,21.28176,43,5,4.700422859850218,9.51312,10,0,2.1510213716552538
120,21.29004,41,6,4.722796734008316,9.52856,10,0,2.117924396797501
121,21.28688,42,4,4.718867509691592,9.53952,10,0,2.094729979101698
122,21.2978,39,4,4.734842332039825,9.55344,10,0,2.065108896254661
123,21.31348,42,5,4.727775836921047,9.56676,10,0,2.0352760983099687
124,21.32324,41,5,4.743413950040205,9.57724,10,0,2.0107599828493545
125,21.32516,42,6,4.737536147023033,9.59196,10,0,1.9777613152230542
126,21.34488,42,6,4.725152999473648,9.60392,10,0,1.9491107189956645
127,21.36544,40,5,4.719286436843911,9.6126,10,0,1.9286964599960708
128,21.3624,40,7,4.7589045091160695,9.62396,10,0,1.9017409348129684
129,21.36852,41,6,4.709632707038778,9.63436,10,0,1.876253768424769
130,21.38896,42,5,4.732999701019115,9.64736,10,0,1.8426776301984953
131,21.40988,42,6,4.760880698463376,9.65912,10,0,1.8131994742149387
132,21.4016,43,4,4.765512128222289,9.67024,10,0,1.785302729128421
133,21.4058,42,6,4.743427702016212,9.67716,10,0,1.7668557398860372
134,21.42184,41,5,4.757873107666943,9.68836,10,0,1.7369171499088334
135,21.44892,41,5,4.76204766014753,9.69928,10,0,1.7069048077033815
136,21.45936,40,5,4.731025649322538,9.7106,10,0,1.6751596599713938
137,21.44476,41,6,4.744328075539839,9.72292,10,0,1.6411259565847542
138,21.45348,42,5,4.709148854402173,9.73196,10,0,1.6143539896665033
139,21.48412,42,5,4.759867023243721,9.74436,10,0,1.5775385052382775
140,21.49336,42,6,4.7458251995488725,9.75292,10,0,1.552097881550446
141,21.48872,42,5,4.742629277404954,9.75952,10,0,1.530366965966667
142,21.49984,42,6,4.782739273491547,9.76408,10,0,1.5166653436241562
143,21.49988,41,5,4.755723358416295,9.77192,10,0,1.4912506384704993
144,21.52048,40,5,4.754131323405525,9.78144,10,0,1.4615871427592118
145,21.51432,42,5,4.7399634627014935,9.78848,10,0,1.437769792727293
146,21.50656,43,6,4.756072095255824,9.79304,10,0,1.423084173597117
147,21.50748,42,5,4.757500331263892,9.79904,10,0,1.4027165725660022
148,21.53104,41,5,4.761750044777605,9.80732,10,0,1.374376212686672
149,21.54552,39,4,4.750758962316297,9.81192,10,0,1.3566353717861201
150,21.53688,43,5,4.761926805766343,9.81892,10,0,1.333132072693824
151,21.52704,45,6,4.767743501230301,9.82224,10,0,1.3207540111793419
152,21.53964,41,5,4.739768695484144,9.82692,10,0,1.3038678293648664
