day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount_mean,edgecount_max,edgecount_min,edgecount_std,suscedgecount_mean,suscedgecount_max,suscedgecount_min,suscedgecount_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
62,0.038480000000000014,0.998,0.004,0.13874925850142003,0.33116,0.42,0.0,0.05739528530733343,0.6303599999999999,0.708,0.002,0.09762626779338286,0.7879211634630708,1.0,0.7192283758556316,0.03872563867394319,0.6916997265427698,1.0,0.5434535412605589,0.09004733857528223,0.9957695999999997,1.0,0.98368,0.0029187703309609715,0.8780175618851799,1.0,0.7564102564102564,0.040401097882825844,0.6549272621069843,1.0,0.5509164969450102,0.06208589488747555,0.5085663306507735,1.0,0.25,0.16098206560267828
63,0.03752000000000001,0.998,0.004,0.13886864149921227,0.3229600000000001,0.412,0.0,0.05633607609150423,0.6395200000000001,0.714,0.002,0.09877995334921692,0.7929407134167252,0.9998769230769231,0.7219663970130679,0.03770604355922687,0.667435178934992,1.0,0.4655497198879552,0.09424447923219346,0.9961023999999997,1.0,0.98368,0.0028111052078846153,0.8815865627107523,1.0,0.7564102564102564,0.03916178638935673,0.662951410099214,0.9998,0.5553971486761711,0.06044142459278385,0.45168689336978807,1.0,0.1,0.1777607749422257
64,0.03648000000000001,0.998,0.004,0.13896912592077304,0.3142,0.4,0.0,0.05510250188771572,0.6493200000000001,0.728,0.002,0.09976430182368513,0.7987523974573488,1.0,0.7336652146857499,0.037269522967658474,0.6886559017099307,1.0,0.5227830605926582,0.09311260742137908,0.9965056,1.0,0.9888,0.0023602387980188643,0.8875555186119183,1.0,0.7564102564102564,0.03966578057562825,0.6722252461841554,1.0,0.5710794297352342,0.05987850840618248,0.48526237879767303,1.0,0.09999999999999999,0.17858400325950585
65,0.03564000000000001,0.998,0.004,0.13909015722449483,0.30632,0.388,0.0,0.05403907883019776,0.6580400000000001,0.74,0.002,0.10089678702839383,0.8036024202839438,1.0,0.7441194772868699,0.036232570548354645,0.6760268910255491,1.0,0.5003759398496241,0.09245614545804041,0.9967936000000005,1.0,0.98912,0.002241855791025641,0.8928594187842981,1.0,0.7564102564102564,0.04118953224823899,0.6799953997381006,1.0,0.5875763747454175,0.058237203383876425,0.4563596006934242,1.0,0.09999999999999999,0.17280773430971444
66,0.03480000000000001,0.998,0.002,0.13919828758036545,0.29764,0.374,0.0,0.0521343476422371,0.66756,0.748,0.002,0.10171933374311325,0.8098507404263939,1.0,0.7512134411947728,0.03515353777556857,0.7061016458564385,1.0,0.5359825327709806,0.10156034816143376,0.9971072000000001,1.0,0.9904,0.002079834216313172,0.8965667352475432,1.0,0.7564102564102564,0.04312759890602922,0.6900368431845928,1.0,0.5989816700610998,0.05652999613834871,0.5090550449550449,1.0,0.09999999999999999,0.19980991045330748
67,0.034280000000000005,0.998,0.002,0.1392551673463253,0.28983999999999993,0.362,0.0,0.05056390581658592,0.6758799999999999,0.754,0.002,0.1024240166351304,0.8141669483449786,1.0,0.7613904407200497,0.03416855372158412,0.6967633289601161,1.0,0.542752009894867,0.10602016540824778,0.9972799999999999,1.0,0.99104,0.0019082634482049895,0.898856125043154,1.0,0.7564102564102564,0.043440206875485124,0.6970109757561127,1.0,0.6156186612576064,0.054937664444231815,0.4990614885114885,1.0,0.22857142857142865,0.19015146101674701
68,0.03316000000000001,0.998,0.002,0.13939641900943173,0.28176000000000007,0.354,0.0,0.04967098278283051,0.6850799999999999,0.756,0.002,0.1035115767951211,0.8202952265279819,1.0,0.7622594661700807,0.033489070377474776,0.7195043658076569,1.0,0.4823727470786294,0.12289119931734957,0.9976959999999999,1.0,0.99328,0.0016316862443497262,0.9067766916657426,1.0,0.7564102564102564,0.04395778919612052,0.7067929960107826,1.0,0.6158215010141987,0.05399504158360184,0.5236519480519481,1.0,0.09999999999999999,0.23937323952492476
69,0.03212000000000001,0.998,0.002,0.13953298783397977,0.27484,0.348,0.0,0.04885144494761017,0.6930399999999998,0.766,0.002,0.10460283681328988,0.8242180071925924,0.9997538461538461,0.771570453134699,0.032772918457305025,0.6949915839280912,1.0,0.4444444444444444,0.11982570931586854,0.997984,1.0,0.99328,0.001562666480926792,0.9144995670718451,1.0,0.8333333333333334,0.0392053667337548,0.7130388956080215,0.9996,0.6308316430020284,0.052876450011354756,0.48008821178821187,1.0,0.1,0.24007860449047827
70,0.031240000000000004,0.998,0.002,0.13964262842509584,0.26792,0.348,0.0,0.04804243022621583,0.70084,0.77,0.002,0.10553814669664835,0.8287498536243156,1.0,0.7698324022346369,0.032301164968987064,0.7213751512528239,1.0,0.5,0.11736667458167925,0.9982271999999999,1.0,0.99424,0.0014018865423246353,0.9184689825008039,1.0,0.8333333333333334,0.038222939525795877,0.7203168914697804,1.0,0.6273833671399595,0.05216697557253609,0.5113390109890111,1.0,0.1,0.23044852078085223
71,0.030360000000000005,0.998,0.002,0.1397517857941467,0.26091999999999993,0.332,0.0,0.04687492693871857,0.70872,0.782,0.002,0.10635079420752544,0.8332214576031673,0.9997538461538461,0.7812538795779019,0.031136346297380657,0.6812630627227003,1.0,0.4444444444444444,0.1347133067752741,0.9984383999999997,1.0,0.99424,0.0012956431859528416,0.9224413994439563,1.0,0.8333333333333334,0.03856554081413173,0.7275168352289835,0.9996,0.6454361054766734,0.05031841428848193,0.45021753246753254,1.0,0.1,0.26606992513822214
72,0.029880000000000004,0.998,0.0,0.13981761297475787,0.2534,0.324,0.0,0.04575756879512739,0.71672,0.788,0.002,0.10732043189458762,0.83821942644547,0.9998769230769231,0.7913911416094822,0.03099870808964696,0.7204915767142585,1.0,0.441624895572264,0.13441640484146095,0.9985663999999999,1.0,0.99488,0.0012540054356553405,0.9268205379981799,1.0,0.8379281829281829,0.036676941323773776,0.7356322341987844,0.9998,0.6595092024539877,0.05011471250838105,0.514988735754042,1.0,0.1,0.25576695359481877
73,0.029280000000000004,0.998,0.0,0.13989194663987586,0.24684000000000006,0.314,0.0,0.044672212063118666,0.7238799999999999,0.794,0.002,0.10822004039389906,0.842354197656598,1.0,0.7936685288640596,0.029888245825379474,0.7232335894169951,1.0,0.4789849536652606,0.13117427881997593,0.9986879999999997,1.0,0.9952,0.0011551340588336475,0.9285099745098927,1.0,0.8257575757575758,0.03704630632623532,0.7423370035096073,1.0,0.6655172413793103,0.04830568071640784,0.521846673734429,1.0,0.1,0.2594389365576948
74,0.028800000000000003,0.998,0.0,0.13995159513057306,0.24140000000000003,0.306,0.0,0.043404598646611975,0.7298000000000002,0.796,0.002,0.10874666309682278,0.8457754040750101,1.0,0.796141879278158,0.029591565117999107,0.7174801475215838,1.0,0.4255952380952381,0.14526001810739234,0.9988735999999997,1.0,0.9952,0.0010389118326010031,0.9349138836618808,1.0,0.8257575757575758,0.03693808391509034,0.7478286933139132,1.0,0.6694501018329939,0.04782608884053562,0.5108050622846543,1.0,0.09999999999999999,0.26510122176135753
75,0.028360000000000007,0.998,0.0,0.14000565003176238,0.23451999999999992,0.304,0.0,0.042186776146473356,0.73712,0.8,0.002,0.1094887264721341,0.8501028640330138,1.0,0.8017380509000621,0.02819622074553835,0.7306534691143122,1.0,0.4512987012987013,0.1348956299749248,0.9990016,1.0,0.99584,0.0008855837691855745,0.9400251621984599,1.0,0.8257575757575758,0.03488510518342174,0.7548409170687584,1.0,0.6772819472616632,0.04564119342334187,0.5205645375033131,1.0,0.1,0.2666461942343715
76,0.028120000000000003,0.998,0.0,0.140041632293794,0.22728000000000004,0.3,0.0,0.04150585894220974,0.7445999999999999,0.814,0.002,0.11062364953632065,0.8547331986027301,1.0,0.804096834264432,0.028116452381389052,0.7209879470944349,1.0,0.4255952380952381,0.14352354872290482,0.9990336000000001,1.0,0.99616,0.000858869118821501,0.9360444160829311,1.0,0.8125,0.03856307841429363,0.7624169246093833,1.0,0.6811359026369168,0.045504145079103914,0.5054565746753247,1.0,0.09999999999999999,0.2689392939719392
