day_lags,m,ped
0,10,0.001
0,10,0.001
0,10,0.001
0,10,0.001
6,10,0.001
0,10,0.001
0,10,0.001
1,10,0.001
0,10,0.001
74,10,0.001
0,10,0.001
30,10,0.001
0,10,0.001
0,10,0.001
0,10,0.001
55,10,0.001
32,10,0.001
0,10,0.001
0,10,0.001
0,10,0.001
0,10,0.001
40,10,0.001
0,10,0.001
0,10,0.001
86,10,0.012
57,10,0.012
65,10,0.012
88,10,0.012
99,10,0.012
66,10,0.012
40,10,0.012
48,10,0.012
27,10,0.012
37,10,0.012
4,10,0.012
12,10,0.012
53,10,0.012
40,10,0.012
41,10,0.012
63,10,0.012
69,10,0.012
60,10,0.012
109,10,0.012
65,10,0.012
8,10,0.012
0,10,0.012
96,10,0.012
137,10,0.012
79,10,0.012
47,10,0.012
88,10,0.012
113,10,0.012
99,10,0.012
61,10,0.012
111,10,0.012
93,10,0.012
57,10,0.012
21,10,0.012
80,10,0.012
66,10,0.012
37,10,0.012
43,10,0.012
110,10,0.012
45,10,0.012
61,10,0.012
0,10,0.012
0,10,0.012
4,10,0.012
59,10,0.012
30,10,0.012
30,10,0.012
47,10,0.012
38,10,0.012
37,10,0.012
90,10,0.023
19,10,0.023
16,10,0.023
49,10,0.023
27,10,0.023
46,10,0.023
38,10,0.023
27,10,0.023
28,10,0.023
20,10,0.023
31,10,0.023
44,10,0.023
43,10,0.023
0,10,0.023
16,10,0.023
0,10,0.023
61,10,0.023
21,10,0.023
42,10,0.023
21,10,0.023
58,10,0.023
18,10,0.023
50,10,0.023
0,10,0.023
47,10,0.023
17,10,0.023
39,10,0.023
92,10,0.023
18,10,0.023
30,10,0.023
28,10,0.023
56,10,0.023
69,10,0.023
15,10,0.023
19,10,0.023
66,10,0.023
19,10,0.023
0,10,0.023
16,10,0.023
34,10,0.023
47,10,0.023
35,10,0.023
47,10,0.023
54,10,0.023
0,10,0.023
10,10,0.023
81,10,0.023
16,10,0.023
17,10,0.023
0,10,0.023
34,10,0.034
14,10,0.034
21,10,0.034
20,10,0.034
31,10,0.034
58,10,0.034
27,10,0.034
19,10,0.034
38,10,0.034
23,10,0.034
24,10,0.034
10,10,0.034
30,10,0.034
0,10,0.034
27,10,0.034
32,10,0.034
28,10,0.034
40,10,0.034
0,10,0.034
48,10,0.034
29,10,0.034
21,10,0.034
49,10,0.034
23,10,0.034
10,10,0.034
26,10,0.034
17,10,0.034
18,10,0.034
25,10,0.034
35,10,0.034
18,10,0.034
24,10,0.034
41,10,0.034
34,10,0.034
31,10,0.034
20,10,0.034
25,10,0.034
33,10,0.034
0,10,0.034
15,10,0.034
18,10,0.034
23,10,0.034
30,10,0.034
0,10,0.034
20,10,0.034
17,10,0.034
18,10,0.034
23,10,0.034
17,10,0.034
27,10,0.034
21,10,0.045
31,10,0.045
24,10,0.045
11,10,0.045
43,10,0.045
15,10,0.045
24,10,0.045
54,10,0.045
25,10,0.045
21,10,0.045
19,10,0.045
7,10,0.045
50,10,0.045
29,10,0.045
17,10,0.045
29,10,0.045
16,10,0.045
23,10,0.045
40,10,0.045
24,10,0.045
21,10,0.045
24,10,0.045
27,10,0.045
28,10,0.045
26,10,0.045
17,10,0.045
25,10,0.045
38,10,0.045
16,10,0.045
16,10,0.045
14,10,0.045
34,10,0.045
11,10,0.045
17,10,0.045
20,10,0.045
44,10,0.045
23,10,0.045
10,10,0.045
20,10,0.045
25,10,0.045
18,10,0.045
29,10,0.045
33,10,0.045
24,10,0.045
33,10,0.045
45,10,0.045
22,10,0.045
14,10,0.045
15,10,0.045
17,10,0.045
34,10,0.056
34,10,0.056
22,10,0.056
32,10,0.056
19,10,0.056
30,10,0.056
14,10,0.056
15,10,0.056
19,10,0.056
0,10,0.056
17,10,0.056
29,10,0.056
34,10,0.056
9,10,0.056
21,10,0.056
18,10,0.056
29,10,0.056
8,10,0.056
9,10,0.056
26,10,0.056
7,10,0.056
15,10,0.056
30,10,0.056
25,10,0.056
18,10,0.056
5,10,0.056
16,10,0.056
16,10,0.056
29,10,0.056
15,10,0.056
9,10,0.056
20,10,0.056
16,10,0.056
16,10,0.056
29,10,0.056
19,10,0.056
20,10,0.056
10,10,0.056
38,10,0.056
28,10,0.056
13,10,0.056
17,10,0.056
12,10,0.056
33,10,0.056
23,10,0.056
22,10,0.056
0,10,0.056
12,10,0.056
17,10,0.056
21,10,0.056
28,10,0.067
17,10,0.067
14,10,0.067
22,10,0.067
18,10,0.067
13,10,0.067
21,10,0.067
17,10,0.067
24,10,0.067
0,10,0.067
14,10,0.067
21,10,0.067
9,10,0.067
0,10,0.067
27,10,0.067
8,10,0.067
15,10,0.067
13,10,0.067
0,10,0.067
14,10,0.067
22,10,0.067
17,10,0.067
10,10,0.067
12,10,0.067
20,10,0.067
20,10,0.067
18,10,0.067
0,10,0.067
27,10,0.067
22,10,0.067
11,10,0.067
16,10,0.067
15,10,0.067
16,10,0.067
16,10,0.067
14,10,0.067
12,10,0.067
25,10,0.067
35,10,0.067
8,10,0.067
15,10,0.067
20,10,0.067
14,10,0.067
0,10,0.067
28,10,0.067
12,10,0.067
14,10,0.067
16,10,0.067
8,10,0.067
25,10,0.067
5,10,0.078
14,10,0.078
21,10,0.078
21,10,0.078
14,10,0.078
11,10,0.078
12,10,0.078
24,10,0.078
30,10,0.078
28,10,0.078
8,10,0.078
0,10,0.078
18,10,0.078
15,10,0.078
36,10,0.078
0,10,0.078
6,10,0.078
22,10,0.078
8,10,0.078
17,10,0.078
25,10,0.078
30,10,0.078
19,10,0.078
13,10,0.078
16,10,0.078
21,10,0.078
26,10,0.078
11,10,0.078
13,10,0.078
18,10,0.078
13,10,0.078
17,10,0.078
14,10,0.078
0,10,0.078
19,10,0.078
18,10,0.078
19,10,0.078
16,10,0.078
14,10,0.078
14,10,0.078
16,10,0.078
27,10,0.078
17,10,0.078
24,10,0.078
13,10,0.078
9,10,0.078
16,10,0.078
18,10,0.078
11,10,0.078
16,10,0.078
9,10,0.089
22,10,0.089
10,10,0.089
0,10,0.089
25,10,0.089
14,10,0.089
14,10,0.089
14,10,0.089
6,10,0.089
18,10,0.089
19,10,0.089
23,10,0.089
18,10,0.089
17,10,0.089
14,10,0.089
19,10,0.089
17,10,0.089
12,10,0.089
17,10,0.089
8,10,0.089
17,10,0.089
11,10,0.089
16,10,0.089
17,10,0.089
23,10,0.089
18,10,0.089
12,10,0.089
0,10,0.089
11,10,0.089
8,10,0.089
12,10,0.089
19,10,0.089
12,10,0.089
17,10,0.089
0,10,0.089
11,10,0.089
16,10,0.089
13,10,0.089
22,10,0.089
21,10,0.089
14,10,0.089
15,10,0.089
14,10,0.089
16,10,0.089
12,10,0.089
12,10,0.089
10,10,0.089
13,10,0.089
18,10,0.089
14,10,0.089
17,10,0.1
20,10,0.1
18,10,0.1
16,10,0.1
20,10,0.1
8,10,0.1
14,10,0.1
16,10,0.1
17,10,0.1
13,10,0.1
14,10,0.1
14,10,0.1
23,10,0.1
19,10,0.1
0,10,0.1
23,10,0.1
17,10,0.1
17,10,0.1
18,10,0.1
12,10,0.1
6,10,0.1
13,10,0.1
14,10,0.1
18,10,0.1
8,10,0.1
14,10,0.1
17,10,0.1
19,10,0.1
8,10,0.1
21,10,0.1
7,10,0.1
12,10,0.1
12,10,0.1
22,10,0.1
14,10,0.1
18,10,0.1
0,10,0.1
10,10,0.1
26,10,0.1
0,10,0.1
15,10,0.1
9,10,0.1
17,10,0.1
16,10,0.1
19,10,0.1
13,10,0.1
21,10,0.1
17,10,0.1
22,10,0.1
18,10,0.1
43,15,0.001
81,15,0.001
32,15,0.001
0,15,0.001
83,15,0.001
0,15,0.001
123,15,0.001
103,15,0.001
16,15,0.001
0,15,0.001
144,15,0.001
0,15,0.001
0,15,0.001
55,15,0.001
0,15,0.001
19,15,0.001
1,15,0.001
0,15,0.001
57,15,0.001
106,15,0.001
0,15,0.001
1,15,0.001
71,15,0.001
98,15,0.001
77,15,0.001
0,15,0.001
1,15,0.001
66,15,0.001
12,15,0.001
0,15,0.001
3,15,0.001
60,15,0.001
77,15,0.001
66,15,0.001
84,15,0.001
74,15,0.001
0,15,0.001
0,15,0.001
0,15,0.001
88,15,0.001
29,15,0.001
110,15,0.001
10,15,0.001
55,15,0.001
17,15,0.001
0,15,0.001
0,15,0.001
0,15,0.001
0,15,0.001
51,15,0.001
61,15,0.012
29,15,0.012
30,15,0.012
41,15,0.012
49,15,0.012
27,15,0.012
12,15,0.012
26,15,0.012
14,15,0.012
39,15,0.012
37,15,0.012
37,15,0.012
22,15,0.012
59,15,0.012
12,15,0.012
28,15,0.012
25,15,0.012
24,15,0.012
26,15,0.012
0,15,0.012
30,15,0.012
16,15,0.012
33,15,0.012
9,15,0.012
20,15,0.012
17,15,0.012
51,15,0.012
18,15,0.012
34,15,0.012
40,15,0.012
0,15,0.012
74,15,0.012
21,15,0.012
0,15,0.012
27,15,0.012
31,15,0.012
24,15,0.012
42,15,0.012
0,15,0.012
25,15,0.012
23,15,0.012
43,15,0.012
21,15,0.012
40,15,0.012
35,15,0.012
81,15,0.012
30,15,0.012
37,15,0.012
29,15,0.012
46,15,0.012
14,15,0.023
24,15,0.023
18,15,0.023
19,15,0.023
18,15,0.023
25,15,0.023
0,15,0.023
19,15,0.023
14,15,0.023
12,15,0.023
20,15,0.023
19,15,0.023
18,15,0.023
8,15,0.023
14,15,0.023
22,15,0.023
11,15,0.023
14,15,0.023
17,15,0.023
22,15,0.023
21,15,0.023
23,15,0.023
15,15,0.023
19,15,0.023
10,15,0.023
12,15,0.023
20,15,0.023
16,15,0.023
17,15,0.023
27,15,0.023
14,15,0.023
20,15,0.023
15,15,0.023
45,15,0.023
22,15,0.023
8,15,0.023
18,15,0.023
35,15,0.023
25,15,0.023
13,15,0.023
23,15,0.023
16,15,0.023
16,15,0.023
14,15,0.023
36,15,0.023
21,15,0.023
21,15,0.023
19,15,0.023
11,15,0.023
25,15,0.023
19,15,0.034
21,15,0.034
18,15,0.034
34,15,0.034
21,15,0.034
20,15,0.034
21,15,0.034
12,15,0.034
19,15,0.034
15,15,0.034
10,15,0.034
15,15,0.034
18,15,0.034
17,15,0.034
21,15,0.034
20,15,0.034
14,15,0.034
18,15,0.034
14,15,0.034
12,15,0.034
14,15,0.034
0,15,0.034
24,15,0.034
12,15,0.034
23,15,0.034
24,15,0.034
19,15,0.034
24,15,0.034
17,15,0.034
20,15,0.034
20,15,0.034
13,15,0.034
23,15,0.034
16,15,0.034
21,15,0.034
13,15,0.034
18,15,0.034
17,15,0.034
27,15,0.034
16,15,0.034
20,15,0.034
21,15,0.034
26,15,0.034
47,15,0.034
14,15,0.034
16,15,0.034
13,15,0.034
12,15,0.034
14,15,0.034
0,15,0.034
12,15,0.045
15,15,0.045
14,15,0.045
13,15,0.045
23,15,0.045
15,15,0.045
11,15,0.045
24,15,0.045
18,15,0.045
0,15,0.045
14,15,0.045
12,15,0.045
17,15,0.045
14,15,0.045
13,15,0.045
17,15,0.045
12,15,0.045
19,15,0.045
12,15,0.045
17,15,0.045
16,15,0.045
11,15,0.045
13,15,0.045
12,15,0.045
17,15,0.045
13,15,0.045
15,15,0.045
17,15,0.045
15,15,0.045
19,15,0.045
16,15,0.045
19,15,0.045
17,15,0.045
15,15,0.045
11,15,0.045
26,15,0.045
18,15,0.045
13,15,0.045
12,15,0.045
11,15,0.045
22,15,0.045
15,15,0.045
7,15,0.045
13,15,0.045
11,15,0.045
19,15,0.045
14,15,0.045
18,15,0.045
10,15,0.045
15,15,0.045
11,15,0.056
9,15,0.056
16,15,0.056
13,15,0.056
0,15,0.056
11,15,0.056
14,15,0.056
14,15,0.056
16,15,0.056
13,15,0.056
12,15,0.056
14,15,0.056
11,15,0.056
10,15,0.056
23,15,0.056
14,15,0.056
8,15,0.056
16,15,0.056
0,15,0.056
13,15,0.056
12,15,0.056
18,15,0.056
14,15,0.056
8,15,0.056
11,15,0.056
11,15,0.056
15,15,0.056
0,15,0.056
19,15,0.056
13,15,0.056
21,15,0.056
18,15,0.056
20,15,0.056
11,15,0.056
9,15,0.056
9,15,0.056
20,15,0.056
17,15,0.056
15,15,0.056
20,15,0.056
13,15,0.056
18,15,0.056
14,15,0.056
12,15,0.056
12,15,0.056
12,15,0.056
13,15,0.056
12,15,0.056
10,15,0.056
13,15,0.056
8,15,0.067
10,15,0.067
23,15,0.067
18,15,0.067
19,15,0.067
8,15,0.067
10,15,0.067
9,15,0.067
12,15,0.067
15,15,0.067
14,15,0.067
13,15,0.067
12,15,0.067
18,15,0.067
8,15,0.067
17,15,0.067
16,15,0.067
12,15,0.067
20,15,0.067
16,15,0.067
11,15,0.067
0,15,0.067
9,15,0.067
11,15,0.067
14,15,0.067
15,15,0.067
21,15,0.067
14,15,0.067
12,15,0.067
9,15,0.067
9,15,0.067
13,15,0.067
16,15,0.067
12,15,0.067
11,15,0.067
13,15,0.067
12,15,0.067
10,15,0.067
11,15,0.067
16,15,0.067
15,15,0.067
12,15,0.067
13,15,0.067
13,15,0.067
13,15,0.067
11,15,0.067
15,15,0.067
5,15,0.067
12,15,0.067
15,15,0.067
20,15,0.078
10,15,0.078
12,15,0.078
11,15,0.078
9,15,0.078
20,15,0.078
16,15,0.078
12,15,0.078
14,15,0.078
8,15,0.078
17,15,0.078
19,15,0.078
13,15,0.078
16,15,0.078
18,15,0.078
7,15,0.078
18,15,0.078
19,15,0.078
10,15,0.078
13,15,0.078
16,15,0.078
12,15,0.078
10,15,0.078
20,15,0.078
12,15,0.078
26,15,0.078
7,15,0.078
18,15,0.078
8,15,0.078
5,15,0.078
15,15,0.078
7,15,0.078
13,15,0.078
13,15,0.078
0,15,0.078
20,15,0.078
17,15,0.078
15,15,0.078
18,15,0.078
6,15,0.078
11,15,0.078
0,15,0.078
13,15,0.078
20,15,0.078
11,15,0.078
12,15,0.078
21,15,0.078
5,15,0.078
13,15,0.078
13,15,0.078
18,15,0.089
13,15,0.089
9,15,0.089
15,15,0.089
14,15,0.089
10,15,0.089
15,15,0.089
14,15,0.089
18,15,0.089
9,15,0.089
0,15,0.089
14,15,0.089
14,15,0.089
0,15,0.089
11,15,0.089
17,15,0.089
11,15,0.089
17,15,0.089
13,15,0.089
11,15,0.089
6,15,0.089
9,15,0.089
11,15,0.089
0,15,0.089
17,15,0.089
14,15,0.089
14,15,0.089
15,15,0.089
10,15,0.089
11,15,0.089
14,15,0.089
14,15,0.089
12,15,0.089
10,15,0.089
11,15,0.089
14,15,0.089
12,15,0.089
10,15,0.089
8,15,0.089
12,15,0.089
9,15,0.089
10,15,0.089
11,15,0.089
14,15,0.089
10,15,0.089
12,15,0.089
20,15,0.089
15,15,0.089
18,15,0.089
11,15,0.089
11,15,0.1
13,15,0.1
0,15,0.1
11,15,0.1
19,15,0.1
12,15,0.1
16,15,0.1
9,15,0.1
9,15,0.1
10,15,0.1
11,15,0.1
11,15,0.1
7,15,0.1
15,15,0.1
12,15,0.1
15,15,0.1
9,15,0.1
13,15,0.1
0,15,0.1
0,15,0.1
10,15,0.1
4,15,0.1
13,15,0.1
13,15,0.1
13,15,0.1
16,15,0.1
8,15,0.1
11,15,0.1
8,15,0.1
10,15,0.1
9,15,0.1
14,15,0.1
13,15,0.1
21,15,0.1
8,15,0.1
14,15,0.1
18,15,0.1
8,15,0.1
20,15,0.1
15,15,0.1
9,15,0.1
8,15,0.1
11,15,0.1
