day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
33,21.92,0,499,84.16891129235725,213.02,0,268,40.36491336737612,265.06,1,313,48.954356754288284,0.9933708048224177,0.9802867383512545,1.0,0.003448255266639859,0.7245266102222545,0.6163716504881919,1.0,0.06347114839007283
34,21.05,0,499,84.31424529579208,205.21,0,261,39.066312648106404,273.74,1,318,50.37589756298523,0.9945210166177908,0.9824046920821115,1.0,0.0030369548568959614,0.7387222063385201,0.6032734034713049,1.0,0.06348356736204394
35,20.495,0,499,84.40682755374972,197.35,0,256,37.750935959644046,282.155,1,328,51.775908475781144,0.9952737047898339,0.9837080482241772,1.0,0.002746588028007735,0.7521188842560741,0.6128938928762466,1.0,0.06330834635463435
36,19.865,0,499,84.50813510838758,189.84,0,250,36.42276056859482,290.295,1,333,53.033392107161696,0.9960483870967742,0.9868035190615836,1.0,0.0022947486455785118,0.7645169248162351,0.6128938928762466,1.0,0.06424330028938378
37,19.37,0,499,84.59215248063221,182.7,0,243,35.04383471823245,297.93,1,340,54.159035308318025,0.996634082763115,0.9897360703812317,1.0,0.0019976492825447886,0.7746739528767067,0.6248049749966506,1.0,0.06440496752501079
38,18.9,0,499,84.66914621990729,175.865,0,239,33.90878653122374,305.235,1,349,55.37355803674027,0.9971839361355491,0.9900619094167481,1.0,0.0017412960441463067,0.7883795582106776,0.6333333333333333,1.0,0.06386000090452386
39,18.54,0,499,84.72947432325707,169.345,0,226,32.68420507380487,312.115,1,357,56.4418300188734,0.9975610948191593,0.9912023460410557,1.0,0.0015419537095677086,0.7980184352654337,0.6333333333333333,1.0,0.06306825947769759
40,18.16,0,499,84.793834515602,162.63,0,223,31.409967051093098,319.21,1,362,57.54688628069304,0.9979496578690127,0.9915281850765721,1.0,0.0013992271709907102,0.8094632866495383,0.5789473684210527,1.0,0.06770838120150606
41,17.785,0,499,84.85760330810658,156.4,0,217,30.251375648773656,325.815,1,365,58.59108594111221,0.9982583903551645,0.9925057021831215,1.0,0.001243484496063587,0.8153468267794369,0.5789473684210527,1.0,0.06942636415757787
42,17.495,0,499,84.9058004481952,150.38,0,206,29.18500337691522,332.125,1,371,59.63253787039691,0.9985320951449984,0.9938090583251874,1.0,0.001051660835096382,0.8257035113204267,0.5789473684210527,1.0,0.06810049352021656
43,17.21,0,499,84.95334752840178,144.905,0,197,28.359429848051125,337.885,1,376,60.640233878375845,0.9987715868361029,0.9949494949494949,1.0,0.0008787672394566012,0.8322406097175773,0.5789473684210527,1.0,0.06836073299014164
44,16.995,0,499,84.9899490066961,139.44,0,187,27.296554902546564,343.565,1,380,61.54114344634341,0.9989491691104594,0.9951124144672532,1.0,0.0008017658791856809,0.8433940020927143,0.7083333333333334,1.0,0.06592010472618408
45,16.83,0,499,85.01901117577488,134.055,0,177,26.362223143073997,349.115,1,388,62.47002718490213,0.9990811339198435,0.9952753339850114,1.0,0.000761018979606674,0.849241065110745,0.717948717948718,1.0,0.06485945478948947
46,16.675,0,499,85.04618535370109,128.95,0,167,25.399669605733095,354.375,1,394,63.31665951279564,0.9992065819485174,0.9952753339850114,1.0,0.0007044565894182797,0.8590737521801444,0.717948717948718,1.0,0.06306906309938794
47,16.54,0,499,85.06939762370662,123.855,0,162,24.557674398429846,359.605,1,397,64.21570883597357,0.9993132942326491,0.9956011730205279,1.0,0.0006380010744273148,0.8648154951112561,0.6429250909749801,1.0,0.0639424082628798
48,16.435,0,499,85.08716060309855,119.055,0,159,23.683677032693733,364.51,1,401,65.02407671596589,0.9993980123818834,0.9957640925382861,1.0,0.0005907425222668328,0.8727011756539802,0.7143612121944223,1.0,0.0627827014444867
49,16.29,0,499,85.1117261583164,114.345,0,153,22.928246716385388,369.365,1,407,65.85938862722429,0.9995039100684262,0.9967416096448355,1.0,0.0005103318388155567,0.8839111096638443,0.7143612121944223,1.0,0.06153957327440106
