,day,s,s,s,i,i,i,r,r,r,edgecount,edgecount,edgecount,suscedgecount,suscedgecount,suscedgecount,V,T
,,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,,
11098,99,0.0,0,0,11.7,19,7,488.3,493,481,1.0,1.0,1.0,,,,0.07,14
11099,100,0.0,0,0,11.0,17,5,489.0,495,483,1.0,1.0,1.0,,,,0.07,14
11100,101,0.0,0,0,10.6,16,5,489.4,495,484,1.0,1.0,1.0,,,,0.07,14
11101,102,0.0,0,0,10.1,14,5,489.9,495,486,1.0,1.0,1.0,,,,0.07,14
11102,103,0.0,0,0,9.9,14,5,490.1,495,486,1.0,1.0,1.0,,,,0.07,14
11103,104,0.0,0,0,9.8,14,5,490.2,495,486,1.0,1.0,1.0,,,,0.07,14
11104,105,0.0,0,0,9.6,14,5,490.4,495,486,1.0,1.0,1.0,,,,0.07,14
11105,106,0.0,0,0,9.1,14,5,490.9,495,486,1.0,1.0,1.0,,,,0.07,14
11106,107,0.0,0,0,8.9,14,5,491.1,495,486,1.0,1.0,1.0,,,,0.07,14
11107,108,0.0,0,0,8.3,12,4,491.7,496,488,1.0,1.0,1.0,,,,0.07,14
11108,109,0.0,0,0,7.6,11,4,492.4,496,489,1.0,1.0,1.0,,,,0.07,14
11109,110,0.0,0,0,7.0,11,4,493.0,496,489,1.0,1.0,1.0,,,,0.07,14
11110,111,0.0,0,0,6.8,11,4,493.2,496,489,1.0,1.0,1.0,,,,0.07,14
11111,112,0.0,0,0,6.3,11,3,493.7,497,489,1.0,1.0,1.0,,,,0.07,14
11112,113,0.0,0,0,6.0,10,3,494.0,497,490,1.0,1.0,1.0,,,,0.07,14
11113,114,0.0,0,0,5.5,9,2,494.5,498,491,1.0,1.0,1.0,,,,0.07,14
11114,115,0.0,0,0,5.5,9,2,494.5,498,491,1.0,1.0,1.0,,,,0.07,14
11115,116,0.0,0,0,5.3,9,2,494.7,498,491,1.0,1.0,1.0,,,,0.07,14
11116,117,0.0,0,0,5.1,9,2,494.9,498,491,1.0,1.0,1.0,,,,0.07,14
11117,118,0.0,0,0,4.9,9,2,495.1,498,491,1.0,1.0,1.0,,,,0.07,14
11118,119,0.0,0,0,4.8,9,2,495.2,498,491,1.0,1.0,1.0,,,,0.07,14
11119,120,0.0,0,0,4.6,9,2,495.4,498,491,1.0,1.0,1.0,,,,0.07,14
11120,121,0.0,0,0,4.4,9,2,495.6,498,491,1.0,1.0,1.0,,,,0.07,14
11121,122,0.0,0,0,4.4,9,2,495.6,498,491,1.0,1.0,1.0,,,,0.07,14
11122,123,0.0,0,0,4.2,9,2,495.8,498,491,1.0,1.0,1.0,,,,0.07,14
11123,124,0.0,0,0,4.0,9,2,496.0,498,491,1.0,1.0,1.0,,,,0.07,14
11124,125,0.0,0,0,3.9,9,2,496.1,498,491,1.0,1.0,1.0,,,,0.07,14
11125,126,0.0,0,0,3.8,8,2,496.2,498,492,1.0,1.0,1.0,,,,0.07,14
11126,127,0.0,0,0,3.6,8,1,496.4,499,492,1.0,1.0,1.0,,,,0.07,14
11127,128,0.0,0,0,3.4,8,1,496.6,499,492,1.0,1.0,1.0,,,,0.07,14
11128,129,0.0,0,0,3.1,7,1,496.9,499,493,1.0,1.0,1.0,,,,0.07,14
11129,130,0.0,0,0,2.8,7,1,497.2,499,493,1.0,1.0,1.0,,,,0.07,14
11130,131,0.0,0,0,2.7,6,1,497.3,499,494,1.0,1.0,1.0,,,,0.07,14
11131,132,0.0,0,0,2.7,6,1,497.3,499,494,1.0,1.0,1.0,,,,0.07,14
11132,133,0.0,0,0,2.6,6,1,497.4,499,494,1.0,1.0,1.0,,,,0.07,14
11133,134,0.0,0,0,2.6,6,1,497.4,499,494,1.0,1.0,1.0,,,,0.07,14
11134,135,0.0,0,0,2.5,6,1,497.5,499,494,1.0,1.0,1.0,,,,0.07,14
11135,136,0.0,0,0,2.4,6,0,497.6,500,494,1.0,1.0,1.0,,,,0.07,14
11136,137,0.0,0,0,2.3,6,0,497.7,500,494,1.0,1.0,1.0,,,,0.07,14
11137,138,0.0,0,0,2.3,6,0,497.7,500,494,1.0,1.0,1.0,,,,0.07,14
11138,139,0.0,0,0,2.3,6,0,497.7,500,494,1.0,1.0,1.0,,,,0.07,14
11139,140,0.0,0,0,2.2,6,0,497.8,500,494,1.0,1.0,1.0,,,,0.07,14
11140,141,0.0,0,0,2.0,6,0,498.0,500,494,1.0,1.0,1.0,,,,0.07,14
11141,142,0.0,0,0,2.0,6,0,498.0,500,494,1.0,1.0,1.0,,,,0.07,14
11142,143,0.0,0,0,2.0,6,0,498.0,500,494,1.0,1.0,1.0,,,,0.07,14
11143,144,0.0,0,0,1.9,5,0,498.1,500,495,1.0,1.0,1.0,,,,0.07,14
11144,145,0.0,0,0,1.8,5,0,498.2,500,495,1.0,1.0,1.0,,,,0.07,14
11145,146,0.0,0,0,1.8,5,0,498.2,500,495,1.0,1.0,1.0,,,,0.07,14
11146,147,0.0,0,0,1.8,5,0,498.2,500,495,1.0,1.0,1.0,,,,0.07,14
11147,148,0.0,0,0,1.7,5,0,498.3,500,495,1.0,1.0,1.0,,,,0.07,14
11148,149,0.0,0,0,1.6,4,0,498.4,500,496,1.0,1.0,1.0,,,,0.07,14
11149,150,0.0,0,0,1.5,3,0,498.5,500,497,1.0,1.0,1.0,,,,0.07,14
11150,151,0.0,0,0,1.4,3,0,498.6,500,497,1.0,1.0,1.0,,,,0.07,14
11151,152,0.0,0,0,1.4,3,0,498.6,500,497,1.0,1.0,1.0,,,,0.07,14
11152,153,0.0,0,0,1.4,3,0,498.6,500,497,1.0,1.0,1.0,,,,0.07,14
11153,154,0.0,0,0,1.3,2,0,498.7,500,498,1.0,1.0,1.0,,,,0.07,14
11154,155,0.0,0,0,1.3,2,0,498.7,500,498,1.0,1.0,1.0,,,,0.07,14
11155,156,0.0,0,0,1.3,2,0,498.7,500,498,1.0,1.0,1.0,,,,0.07,14
11156,157,0.0,0,0,1.3,2,0,498.7,500,498,1.0,1.0,1.0,,,,0.07,14
11157,158,0.0,0,0,1.3,2,0,498.7,500,498,1.0,1.0,1.0,,,,0.07,14
11158,159,0.0,0,0,1.1,2,0,498.9,500,498,1.0,1.0,1.0,,,,0.07,14
11159,160,0.0,0,0,1.1,2,0,498.9,500,498,1.0,1.0,1.0,,,,0.07,14
11160,161,0.0,0,0,1.1,2,0,498.9,500,498,1.0,1.0,1.0,,,,0.07,14
11161,162,0.0,0,0,1.1,2,0,498.9,500,498,1.0,1.0,1.0,,,,0.07,14
11162,163,0.0,0,0,1.0,2,0,499.0,500,498,1.0,1.0,1.0,,,,0.07,14
11163,164,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,14
11164,165,0.0,0,0,0.8,2,0,499.2,500,498,1.0,1.0,1.0,,,,0.07,14
11165,166,0.0,0,0,0.7,2,0,499.3,500,498,1.0,1.0,1.0,,,,0.07,14
11166,167,0.0,0,0,0.7,2,0,499.3,500,498,1.0,1.0,1.0,,,,0.07,14
11167,168,0.0,0,0,0.7,2,0,499.3,500,498,1.0,1.0,1.0,,,,0.07,14
11168,169,0.0,0,0,0.7,2,0,499.3,500,498,1.0,1.0,1.0,,,,0.07,14
11169,170,0.0,0,0,0.7,2,0,499.3,500,498,1.0,1.0,1.0,,,,0.07,14
11170,171,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,14
11171,172,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,14
11172,173,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,14
11173,174,0.0,0,0,0.5,2,0,499.5,500,498,1.0,1.0,1.0,,,,0.07,14
11174,175,0.0,0,0,0.5,2,0,499.5,500,498,1.0,1.0,1.0,,,,0.07,14
11175,176,0.0,0,0,0.4,2,0,499.6,500,498,1.0,1.0,1.0,,,,0.07,14
11176,177,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11177,178,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11178,179,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11179,180,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11180,181,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11181,182,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11182,183,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11183,184,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11184,185,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11185,186,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11186,187,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11187,188,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11188,189,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11189,190,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11190,191,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11191,192,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11192,193,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11193,194,0.0,0,0,0.2,1,0,499.8,500,499,1.0,1.0,1.0,,,,0.07,14
11194,195,0.0,0,0,0.1,1,0,499.9,500,499,1.0,1.0,1.0,,,,0.07,14
11195,196,0.0,0,0,0.1,1,0,499.9,500,499,1.0,1.0,1.0,,,,0.07,14
11196,197,0.0,0,0,0.1,1,0,499.9,500,499,1.0,1.0,1.0,,,,0.07,14
11197,198,0.0,0,0,0.1,1,0,499.9,500,499,1.0,1.0,1.0,,,,0.07,14
11198,199,0.0,0,0,0.1,1,0,499.9,500,499,1.0,1.0,1.0,,,,0.07,14
11199,200,0.0,0,0,0.1,1,0,499.9,500,499,1.0,1.0,1.0,,,,0.07,14
11200,1,497.7,499,495,2.3,5,1,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11201,2,495.8,499,489,3.8,10,1,0.4,2,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11202,3,491.1,499,479,7.6,17,1,1.3,4,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11203,4,482.0,498,459,15.9,36,2,2.1,6,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11204,5,464.4,496,419,31.2,68,4,4.4,13,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11205,6,432.6,488,354,61.0,131,10,6.4,15,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11206,7,379.1,477,265,108.9,209,20,12.0,26,3,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11207,8,308.1,456,156,173.1,306,39,18.8,38,4,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11208,9,226.3,419,78,244.6,373,74,29.1,49,4,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11209,10,152.1,345,33,303.6,403,138,44.3,69,8,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11210,11,92.1,242,12,349.0,408,226,58.9,85,17,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11211,12,52.2,146,5,373.9,415,308,73.9,100,34,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11212,13,24.2,78,1,385.2,418,361,90.6,118,55,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11213,14,8.8,34,0,383.2,410,367,108.0,133,66,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11214,15,3.3,15,0,373.2,414,351,123.5,149,78,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11215,16,1.3,6,0,360.1,403,337,138.6,163,95,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11216,17,0.7,4,0,346.0,386,322,153.3,178,114,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11217,18,0.3,1,0,333.2,370,309,166.5,191,130,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11218,19,0.2,1,0,322.3,356,296,177.5,204,144,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11219,20,0.1,1,0,309.7,339,285,190.2,215,161,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11220,21,0.1,1,0,297.7,325,276,202.2,224,175,1.0,1.0,1.0,1.0,1.0,1.0,0.07,21
11221,22,0.0,0,0,284.2,306,266,215.8,234,194,1.0,1.0,1.0,,,,0.07,21
11222,23,0.0,0,0,274.1,294,253,225.9,247,206,1.0,1.0,1.0,,,,0.07,21
11223,24,0.0,0,0,260.5,282,239,239.5,261,218,1.0,1.0,1.0,,,,0.07,21
11224,25,0.0,0,0,250.2,269,231,249.8,269,231,1.0,1.0,1.0,,,,0.07,21
11225,26,0.0,0,0,238.5,257,218,261.5,282,243,1.0,1.0,1.0,,,,0.07,21
11226,27,0.0,0,0,227.5,249,208,272.5,292,251,1.0,1.0,1.0,,,,0.07,21
11227,28,0.0,0,0,218.4,240,196,281.6,304,260,1.0,1.0,1.0,,,,0.07,21
11228,29,0.0,0,0,211.5,228,192,288.5,308,272,1.0,1.0,1.0,,,,0.07,21
11229,30,0.0,0,0,203.6,219,182,296.4,318,281,1.0,1.0,1.0,,,,0.07,21
11230,31,0.0,0,0,194.0,214,176,306.0,324,286,1.0,1.0,1.0,,,,0.07,21
11231,32,0.0,0,0,187.9,207,170,312.1,330,293,1.0,1.0,1.0,,,,0.07,21
11232,33,0.0,0,0,180.4,197,163,319.6,337,303,1.0,1.0,1.0,,,,0.07,21
11233,34,0.0,0,0,173.4,188,155,326.6,345,312,1.0,1.0,1.0,,,,0.07,21
11234,35,0.0,0,0,166.6,183,149,333.4,351,317,1.0,1.0,1.0,,,,0.07,21
11235,36,0.0,0,0,159.5,176,143,340.5,357,324,1.0,1.0,1.0,,,,0.07,21
11236,37,0.0,0,0,153.2,167,135,346.8,365,333,1.0,1.0,1.0,,,,0.07,21
11237,38,0.0,0,0,147.7,162,132,352.3,368,338,1.0,1.0,1.0,,,,0.07,21
11238,39,0.0,0,0,140.4,154,126,359.6,374,346,1.0,1.0,1.0,,,,0.07,21
11239,40,0.0,0,0,133.9,148,118,366.1,382,352,1.0,1.0,1.0,,,,0.07,21
11240,41,0.0,0,0,129.6,143,114,370.4,386,357,1.0,1.0,1.0,,,,0.07,21
11241,42,0.0,0,0,125.0,139,113,375.0,387,361,1.0,1.0,1.0,,,,0.07,21
11242,43,0.0,0,0,119.4,134,108,380.6,392,366,1.0,1.0,1.0,,,,0.07,21
11243,44,0.0,0,0,114.5,130,103,385.5,397,370,1.0,1.0,1.0,,,,0.07,21
11244,45,0.0,0,0,109.9,123,100,390.1,400,377,1.0,1.0,1.0,,,,0.07,21
11245,46,0.0,0,0,106.7,120,96,393.3,404,380,1.0,1.0,1.0,,,,0.07,21
11246,47,0.0,0,0,102.8,118,91,397.2,409,382,1.0,1.0,1.0,,,,0.07,21
11247,48,0.0,0,0,98.5,113,88,401.5,412,387,1.0,1.0,1.0,,,,0.07,21
11248,49,0.0,0,0,94.1,110,83,405.9,417,390,1.0,1.0,1.0,,,,0.07,21
11249,50,0.0,0,0,90.9,105,80,409.1,420,395,1.0,1.0,1.0,,,,0.07,21
11250,51,0.0,0,0,87.0,102,76,413.0,424,398,1.0,1.0,1.0,,,,0.07,21
11251,52,0.0,0,0,83.0,99,69,417.0,431,401,1.0,1.0,1.0,,,,0.07,21
11252,53,0.0,0,0,79.0,95,67,421.0,433,405,1.0,1.0,1.0,,,,0.07,21
11253,54,0.0,0,0,76.3,93,63,423.7,437,407,1.0,1.0,1.0,,,,0.07,21
11254,55,0.0,0,0,74.0,91,61,426.0,439,409,1.0,1.0,1.0,,,,0.07,21
11255,56,0.0,0,0,71.2,86,60,428.8,440,414,1.0,1.0,1.0,,,,0.07,21
11256,57,0.0,0,0,68.2,81,60,431.8,440,419,1.0,1.0,1.0,,,,0.07,21
11257,58,0.0,0,0,65.6,75,58,434.4,442,425,1.0,1.0,1.0,,,,0.07,21
11258,59,0.0,0,0,62.4,72,54,437.6,446,428,1.0,1.0,1.0,,,,0.07,21
11259,60,0.0,0,0,59.3,67,49,440.7,451,433,1.0,1.0,1.0,,,,0.07,21
11260,61,0.0,0,0,56.9,66,45,443.1,455,434,1.0,1.0,1.0,,,,0.07,21
11261,62,0.0,0,0,55.4,64,45,444.6,455,436,1.0,1.0,1.0,,,,0.07,21
11262,63,0.0,0,0,53.0,60,44,447.0,456,440,1.0,1.0,1.0,,,,0.07,21
11263,64,0.0,0,0,51.1,57,42,448.9,458,443,1.0,1.0,1.0,,,,0.07,21
11264,65,0.0,0,0,49.1,57,39,450.9,461,443,1.0,1.0,1.0,,,,0.07,21
11265,66,0.0,0,0,47.6,54,36,452.4,464,446,1.0,1.0,1.0,,,,0.07,21
11266,67,0.0,0,0,45.7,52,36,454.3,464,448,1.0,1.0,1.0,,,,0.07,21
11267,68,0.0,0,0,43.3,50,32,456.7,468,450,1.0,1.0,1.0,,,,0.07,21
11268,69,0.0,0,0,42.4,50,32,457.6,468,450,1.0,1.0,1.0,,,,0.07,21
11269,70,0.0,0,0,40.3,48,29,459.7,471,452,1.0,1.0,1.0,,,,0.07,21
11270,71,0.0,0,0,38.8,45,28,461.2,472,455,1.0,1.0,1.0,,,,0.07,21
11271,72,0.0,0,0,37.2,44,27,462.8,473,456,1.0,1.0,1.0,,,,0.07,21
11272,73,0.0,0,0,36.4,43,27,463.6,473,457,1.0,1.0,1.0,,,,0.07,21
11273,74,0.0,0,0,35.2,43,26,464.8,474,457,1.0,1.0,1.0,,,,0.07,21
11274,75,0.0,0,0,33.9,41,26,466.1,474,459,1.0,1.0,1.0,,,,0.07,21
11275,76,0.0,0,0,32.0,40,25,468.0,475,460,1.0,1.0,1.0,,,,0.07,21
11276,77,0.0,0,0,30.6,38,24,469.4,476,462,1.0,1.0,1.0,,,,0.07,21
11277,78,0.0,0,0,29.4,36,23,470.6,477,464,1.0,1.0,1.0,,,,0.07,21
11278,79,0.0,0,0,28.6,35,22,471.4,478,465,1.0,1.0,1.0,,,,0.07,21
11279,80,0.0,0,0,27.2,35,21,472.8,479,465,1.0,1.0,1.0,,,,0.07,21
11280,81,0.0,0,0,25.7,33,19,474.3,481,467,1.0,1.0,1.0,,,,0.07,21
11281,82,0.0,0,0,24.8,32,18,475.2,482,468,1.0,1.0,1.0,,,,0.07,21
11282,83,0.0,0,0,23.6,30,15,476.4,485,470,1.0,1.0,1.0,,,,0.07,21
11283,84,0.0,0,0,23.0,29,14,477.0,486,471,1.0,1.0,1.0,,,,0.07,21
11284,85,0.0,0,0,22.0,26,13,478.0,487,474,1.0,1.0,1.0,,,,0.07,21
11285,86,0.0,0,0,21.3,25,12,478.7,488,475,1.0,1.0,1.0,,,,0.07,21
11286,87,0.0,0,0,20.9,25,12,479.1,488,475,1.0,1.0,1.0,,,,0.07,21
11287,88,0.0,0,0,19.7,24,10,480.3,490,476,1.0,1.0,1.0,,,,0.07,21
11288,89,0.0,0,0,19.1,24,10,480.9,490,476,1.0,1.0,1.0,,,,0.07,21
11289,90,0.0,0,0,18.0,23,8,482.0,492,477,1.0,1.0,1.0,,,,0.07,21
11290,91,0.0,0,0,17.3,21,8,482.7,492,479,1.0,1.0,1.0,,,,0.07,21
11291,92,0.0,0,0,16.6,21,7,483.4,493,479,1.0,1.0,1.0,,,,0.07,21
11292,93,0.0,0,0,15.6,21,7,484.4,493,479,1.0,1.0,1.0,,,,0.07,21
11293,94,0.0,0,0,15.1,21,7,484.9,493,479,1.0,1.0,1.0,,,,0.07,21
11294,95,0.0,0,0,14.4,18,7,485.6,493,482,1.0,1.0,1.0,,,,0.07,21
11295,96,0.0,0,0,13.5,16,7,486.5,493,484,1.0,1.0,1.0,,,,0.07,21
11296,97,0.0,0,0,13.3,16,6,486.7,494,484,1.0,1.0,1.0,,,,0.07,21
11297,98,0.0,0,0,12.9,16,6,487.1,494,484,1.0,1.0,1.0,,,,0.07,21
11298,99,0.0,0,0,12.1,15,6,487.9,494,485,1.0,1.0,1.0,,,,0.07,21
11299,100,0.0,0,0,11.9,15,6,488.1,494,485,1.0,1.0,1.0,,,,0.07,21
11300,101,0.0,0,0,11.4,13,6,488.6,494,487,1.0,1.0,1.0,,,,0.07,21
11301,102,0.0,0,0,10.9,13,5,489.1,495,487,1.0,1.0,1.0,,,,0.07,21
11302,103,0.0,0,0,10.1,12,4,489.9,496,488,1.0,1.0,1.0,,,,0.07,21
11303,104,0.0,0,0,9.8,12,3,490.2,497,488,1.0,1.0,1.0,,,,0.07,21
11304,105,0.0,0,0,9.4,12,3,490.6,497,488,1.0,1.0,1.0,,,,0.07,21
11305,106,0.0,0,0,9.1,12,3,490.9,497,488,1.0,1.0,1.0,,,,0.07,21
11306,107,0.0,0,0,8.8,12,3,491.2,497,488,1.0,1.0,1.0,,,,0.07,21
11307,108,0.0,0,0,8.4,11,3,491.6,497,489,1.0,1.0,1.0,,,,0.07,21
11308,109,0.0,0,0,8.2,11,3,491.8,497,489,1.0,1.0,1.0,,,,0.07,21
11309,110,0.0,0,0,8.0,11,3,492.0,497,489,1.0,1.0,1.0,,,,0.07,21
11310,111,0.0,0,0,7.5,10,3,492.5,497,490,1.0,1.0,1.0,,,,0.07,21
11311,112,0.0,0,0,7.2,10,2,492.8,498,490,1.0,1.0,1.0,,,,0.07,21
11312,113,0.0,0,0,7.1,10,2,492.9,498,490,1.0,1.0,1.0,,,,0.07,21
11313,114,0.0,0,0,6.8,10,2,493.2,498,490,1.0,1.0,1.0,,,,0.07,21
11314,115,0.0,0,0,6.7,10,2,493.3,498,490,1.0,1.0,1.0,,,,0.07,21
11315,116,0.0,0,0,6.7,10,2,493.3,498,490,1.0,1.0,1.0,,,,0.07,21
11316,117,0.0,0,0,6.4,9,2,493.6,498,491,1.0,1.0,1.0,,,,0.07,21
11317,118,0.0,0,0,6.2,9,2,493.8,498,491,1.0,1.0,1.0,,,,0.07,21
11318,119,0.0,0,0,5.5,9,2,494.5,498,491,1.0,1.0,1.0,,,,0.07,21
11319,120,0.0,0,0,5.3,9,2,494.7,498,491,1.0,1.0,1.0,,,,0.07,21
11320,121,0.0,0,0,5.1,9,2,494.9,498,491,1.0,1.0,1.0,,,,0.07,21
11321,122,0.0,0,0,4.8,7,2,495.2,498,493,1.0,1.0,1.0,,,,0.07,21
11322,123,0.0,0,0,4.7,7,2,495.3,498,493,1.0,1.0,1.0,,,,0.07,21
11323,124,0.0,0,0,4.6,7,2,495.4,498,493,1.0,1.0,1.0,,,,0.07,21
11324,125,0.0,0,0,4.5,7,2,495.5,498,493,1.0,1.0,1.0,,,,0.07,21
11325,126,0.0,0,0,4.4,7,2,495.6,498,493,1.0,1.0,1.0,,,,0.07,21
11326,127,0.0,0,0,4.1,7,2,495.9,498,493,1.0,1.0,1.0,,,,0.07,21
11327,128,0.0,0,0,4.0,7,2,496.0,498,493,1.0,1.0,1.0,,,,0.07,21
11328,129,0.0,0,0,3.8,7,2,496.2,498,493,1.0,1.0,1.0,,,,0.07,21
11329,130,0.0,0,0,3.6,7,2,496.4,498,493,1.0,1.0,1.0,,,,0.07,21
11330,131,0.0,0,0,3.5,7,2,496.5,498,493,1.0,1.0,1.0,,,,0.07,21
11331,132,0.0,0,0,3.4,7,2,496.6,498,493,1.0,1.0,1.0,,,,0.07,21
11332,133,0.0,0,0,3.4,7,2,496.6,498,493,1.0,1.0,1.0,,,,0.07,21
11333,134,0.0,0,0,3.4,7,2,496.6,498,493,1.0,1.0,1.0,,,,0.07,21
11334,135,0.0,0,0,3.4,7,2,496.6,498,493,1.0,1.0,1.0,,,,0.07,21
11335,136,0.0,0,0,3.2,6,2,496.8,498,494,1.0,1.0,1.0,,,,0.07,21
11336,137,0.0,0,0,3.1,6,2,496.9,498,494,1.0,1.0,1.0,,,,0.07,21
11337,138,0.0,0,0,2.9,5,1,497.1,499,495,1.0,1.0,1.0,,,,0.07,21
11338,139,0.0,0,0,2.9,5,1,497.1,499,495,1.0,1.0,1.0,,,,0.07,21
11339,140,0.0,0,0,2.8,5,1,497.2,499,495,1.0,1.0,1.0,,,,0.07,21
11340,141,0.0,0,0,2.6,5,1,497.4,499,495,1.0,1.0,1.0,,,,0.07,21
11341,142,0.0,0,0,2.6,5,1,497.4,499,495,1.0,1.0,1.0,,,,0.07,21
11342,143,0.0,0,0,2.6,5,1,497.4,499,495,1.0,1.0,1.0,,,,0.07,21
11343,144,0.0,0,0,2.5,5,1,497.5,499,495,1.0,1.0,1.0,,,,0.07,21
11344,145,0.0,0,0,2.5,5,1,497.5,499,495,1.0,1.0,1.0,,,,0.07,21
11345,146,0.0,0,0,2.4,5,1,497.6,499,495,1.0,1.0,1.0,,,,0.07,21
11346,147,0.0,0,0,2.4,5,1,497.6,499,495,1.0,1.0,1.0,,,,0.07,21
11347,148,0.0,0,0,2.4,5,1,497.6,499,495,1.0,1.0,1.0,,,,0.07,21
11348,149,0.0,0,0,2.3,4,1,497.7,499,496,1.0,1.0,1.0,,,,0.07,21
11349,150,0.0,0,0,2.1,4,1,497.9,499,496,1.0,1.0,1.0,,,,0.07,21
11350,151,0.0,0,0,2.0,4,1,498.0,499,496,1.0,1.0,1.0,,,,0.07,21
11351,152,0.0,0,0,1.9,3,1,498.1,499,497,1.0,1.0,1.0,,,,0.07,21
11352,153,0.0,0,0,1.8,3,1,498.2,499,497,1.0,1.0,1.0,,,,0.07,21
11353,154,0.0,0,0,1.8,3,1,498.2,499,497,1.0,1.0,1.0,,,,0.07,21
11354,155,0.0,0,0,1.6,3,1,498.4,499,497,1.0,1.0,1.0,,,,0.07,21
11355,156,0.0,0,0,1.6,3,1,498.4,499,497,1.0,1.0,1.0,,,,0.07,21
11356,157,0.0,0,0,1.5,3,1,498.5,499,497,1.0,1.0,1.0,,,,0.07,21
11357,158,0.0,0,0,1.4,3,1,498.6,499,497,1.0,1.0,1.0,,,,0.07,21
11358,159,0.0,0,0,1.2,2,1,498.8,499,498,1.0,1.0,1.0,,,,0.07,21
11359,160,0.0,0,0,1.0,2,0,499.0,500,498,1.0,1.0,1.0,,,,0.07,21
11360,161,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,21
11361,162,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,21
11362,163,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,21
11363,164,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,21
11364,165,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,21
11365,166,0.0,0,0,0.9,2,0,499.1,500,498,1.0,1.0,1.0,,,,0.07,21
11366,167,0.0,0,0,0.7,2,0,499.3,500,498,1.0,1.0,1.0,,,,0.07,21
11367,168,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,21
11368,169,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,21
11369,170,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,21
11370,171,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,21
11371,172,0.0,0,0,0.6,2,0,499.4,500,498,1.0,1.0,1.0,,,,0.07,21
